Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-05-25,254.73137587831764,257.8438392828956,252.92940759392482,256.6971435546875,28673579,0.0,0
2017-05-26,256.8609808732147,259.9439740403254,254.0114262226126,257.0247802734375,25934977,0.0,0
2017-05-30,257.10665511994534,257.5981032414045,251.6475341048114,252.97035217285156,19416107,0.0,0
2017-05-31,253.3799017866059,257.49163379940046,250.75886166138864,253.543701171875,31572585,0.0,0
2017-06-01,250.06265458029256,254.14409147825847,248.49414980424507,248.87501525878906,29554916,0.0,0
2017-06-02,250.47217122776158,254.36276266276627,248.1255382872918,248.3016357421875,20731844,0.0,0
2017-06-05,248.62924365017577,250.6359796293033,247.76922822831455,249.5302276611328,14704581,0.0,0
2017-06-06,249.8578679680744,251.1683879803933,246.86826059365612,247.07302856445312,17547432,0.0,0
2017-06-07,247.19589394604873,249.48931030568008,246.90923877267457,248.0968780517578,18934111,0.0,0
2017-06-08,248.3425962232554,248.7111635600384,246.0082364392726,246.70445251464844,16373831,0.0,0
2017-06-09,245.63964760565278,246.4497208793468,240.9668536085645,241.4214324951172,27885432,0.0,0
2017-06-12,242.36334347635525,245.72154289513978,241.70809602707007,244.49293518066406,21188710,0.0,0
2017-06-13,245.72154950335928,246.065570670943,242.07666985395736,243.1005096435547,17946524,0.0,0
2017-06-14,242.9776822569204,245.63966602089295,241.99481094172393,243.8377227783203,28515994,0.0,0
2017-06-15,243.51007688775962,243.71484487202315,239.9733298626844,240.39761352539062,15932545,0.0,0
2017-06-16,239.9471116724995,240.39759119760262,235.1252160299766,238.43182373046875,44372872,0.0,0
2017-06-19,238.18610009027216,239.4556765412881,237.17045892633212,237.28514099121094,3540017,0.0,0
2017-06-20,236.71179418637448,236.8346499799863,233.01697180824064,234.5002899169922,147995183,0.0,0
2017-06-21,233.88596530269336,236.12858950897365,229.943781943306,231.96116638183594,8950203,0.0,0
2017-06-22,231.79734336907137,232.12496712373186,227.2433056898468,230.978271484375,3955627,0.0,0
2017-06-23,230.32303023322424,235.15554948502046,229.97408480411522,234.1726531982422,3655784,0.0,0
2017-06-26,234.86884658586402,238.4014937801292,234.60183836860247,236.242431640625,5104760,0.0,0
2017-06-27,235.2374544809571,236.87559824476295,233.4354863423346,235.89105224609375,9047330,0.0,0
2017-06-28,237.40796765622457,241.65895232346332,236.34315931217168,240.88902282714844,3260808,0.0,0
2017-06-29,241.2166694353145,242.40433366356788,238.9642217580747,240.15188598632812,9859389,0.0,0
2017-06-30,239.45566501600337,242.03573639459586,238.513737369354,241.4214324951172,3227121,0.0,0
2017-07-03,241.5443142837298,241.5443142837298,238.26802646707398,239.12806701660156,26053853,0.0,0
2017-07-04,238.18609411535837,240.60236617409603,237.65370238942523,238.92327880859375,15871319,0.0,0
2017-07-05,239.00517842316785,239.82425035058938,236.38416325307384,236.50701904296875,27874765,0.0,0
2017-07-06,235.68796078069408,237.9813523120082,234.17267262788977,235.60604858398438,19742402,0.0,0
2017-07-07,235.36031305991744,236.50700870898535,233.72216927665175,235.23745727539062,12642336,0.0,0
2017-07-10,235.89271314502378,237.20323321726994,235.03269762678573,236.2203369140625,11307783,0.0,0
2017-07-11,236.22033691406247,236.22033691406247,236.22033691406247,236.2203369140625,0,0.0,0
2017-07-12,235.48317051856841,238.51374653759146,234.8688665954765,237.61276245117188,12860877,0.0,0
2017-07-13,237.32605293231322,250.63596961963017,237.32605293231322,247.0320587158203,81752556,0.0,0
2017-07-14,247.5644873539072,248.0182413985778,245.47586396027597,246.25396728515625,22723471,0.0,0
2017-07-17,245.7215820716706,248.2934799621449,245.7215820716706,247.35972595214844,17895342,0.0,0
2017-07-18,247.5644776870113,250.1445491301889,247.1549417437739,249.20262145996094,22084931,0.0,0
2017-07-19,249.8169330308411,250.96362870783003,247.9330776326515,249.93978881835938,14297214,0.0,0
2017-07-20,250.7997946079524,254.69038564941292,249.93975422218753,254.5675048828125,21508487,0.0,0
2017-07-21,255.22278974820807,257.7209488559485,251.70076584676576,252.56080627441406,17711227,0.0,0
2017-07-24,252.7656223564074,253.3389577545712,248.670262386265,250.34934997558594,19202209,0.0,0
