Date,Pearson,education,Edexcel,publisher,penguin,books
2017-09-21,89,90,63,97,89,93
2017-09-22,84,85,59,90,95,89
2017-09-23,46,61,43,45,90,88
2017-09-24,54,62,71,57,89,90
2017-09-25,89,91,74,88,80,92
2017-09-26,87,92,73,83,84,92
2017-09-27,96,91,63,100,88,90
2017-09-28,96,84,80,86,82,90
2017-09-29,75,77,61,67,86,85
2017-09-30,45,51,45,40,100,81
2017-10-01,56,55,67,52,78,93
2017-10-02,95,85,76,82,69,91
2017-10-03,100,95,73,89,76,97
2017-10-04,93,96,69,88,70,94
2017-10-05,97,91,100,82,73,100
2017-10-06,81,81,51,85,70,88
2017-10-07,49,64,34,47,85,84
2017-10-08,49,64,64,51,84,94
2017-10-09,87,89,81,78,81,93
2017-10-10,90,98,75,77,79,98
2017-10-11,97,97,75,92,73,96
2017-10-12,95,100,74,85,80,99
2017-10-13,80,82,58,86,92,89
2017-10-14,46,59,45,54,96,83
2017-10-15,58,66,43,47,100,95
2017-10-16,91,98,85,86,77,96
2017-10-17,94,93,87,76,75,96
2017-10-18,91,88,84,82,72,93
2017-10-19,88,85,77,83,81,92
2017-10-20,71,79,53,73,70,88
2017-10-21,44,56,40,46,83,85
2017-10-22,52,63,30,46,83,89
2017-10-23,93,93,42,88,81,100
2017-10-24,93,97,58,88,84,99
2017-10-25,92,95,53,81,81,95
2017-10-26,84,91,34,100,82,91
2017-10-27,75,80,43,69,90,89
2017-10-28,45,57,50,46,97,83
2017-10-29,51,63,57,58,90,91
2017-10-30,92,88,61,80,82,96
2017-10-31,68,87,76,79,86,86
2017-11-01,88,92,66,61,77,92
2017-11-02,100,94,72,70,87,89
2017-11-03,85,83,60,70,84,87
2017-11-04,45,61,45,47,85,86
2017-11-05,51,62,50,45,80,87
2017-11-06,92,95,78,74,82,88
2017-11-07,90,100,76,100,85,91
2017-11-08,91,99,74,78,88,93
2017-11-09,87,92,69,79,82,93
2017-11-10,60,79,59,58,86,85
2017-11-11,48,59,43,50,98,85
2017-11-12,44,61,69,53,100,92
2017-11-13,96,93,82,74,90,91
2017-11-14,87,94,88,87,85,95
2017-11-15,93,99,94,80,95,99
2017-11-16,82,91,69,81,80,94
2017-11-17,84,84,45,61,90,91
2017-11-18,47,59,55,48,86,86
2017-11-19,49,59,62,41,82,89
2017-11-20,69,87,73,82,78,90
2017-11-21,72,85,76,70,87,89
2017-11-22,61,74,100,60,81,81
2017-11-23,51,62,74,57,73,76
2017-11-24,45,57,60,49,86,85
2017-11-25,43,53,42,35,99,90
2017-11-26,50,60,59,51,94,95
2017-11-27,82,93,89,71,93,98
2017-11-28,90,91,69,73,96,100
2017-11-29,92,91,63,91,98,100
2017-11-30,95,88,74,80,91,94
2017-12-01,84,80,69,79,78,86
2017-12-02,50,59,39,45,76,85
2017-12-03,63,66,70,66,84,90
2017-12-04,99,94,100,87,87,96
2017-12-05,96,93,91,95,83,96
2017-12-06,100,96,99,95,83,100
2017-12-07,92,91,76,94,81,93
2017-12-08,87,79,50,72,80,92
2017-12-09,48,58,40,45,80,89
2017-12-10,55,59,53,69,78,93
2017-12-11,98,85,74,81,81,98
2017-12-12,97,87,81,100,80,97
2017-12-13,90,86,86,87,85,93
2017-12-14,87,83,60,82,92,93
