Date,property,portfolio,WPG,investment,securities,Land Securities Group
2018-06-21,93,77,63,96,75,96.0
2018-06-22,89,65,52,84,80,100.0
2018-06-23,67,48,82,57,36,0.0
2018-06-24,71,51,58,59,27,0.0
2018-06-25,95,80,70,90,85,0.0
2018-06-26,93,74,62,100,90,94.0
2018-06-27,94,82,50,89,84,0.0
2018-06-28,93,81,76,89,86,96.0
2018-06-29,96,67,76,84,74,0.0
2018-06-30,74,50,39,51,37,0.0
2018-07-01,72,58,34,55,26,0.0
2018-07-02,92,88,56,86,74,0.0
2018-07-03,88,83,69,78,72,84.0
2018-07-04,80,91,49,73,75,0.0
2018-07-05,96,93,80,82,74,87.0
2018-07-06,84,69,44,73,78,0.0
2018-07-07,70,53,39,46,28,0.0
2018-07-08,75,66,50,61,30,0.0
2018-07-09,97,94,69,95,81,0.0
2018-07-10,92,88,58,81,94,0.0
2018-07-11,91,88,100,75,74,0.0
2018-07-12,92,85,45,85,88,0.0
2018-07-13,90,86,87,74,80,0.0
2018-07-14,71,61,61,58,35,0.0
2018-07-15,75,65,41,60,33,0.0
2018-07-16,97,82,84,86,69,0.0
2018-07-17,96,87,66,92,87,0.0
2018-07-18,95,100,53,100,89,0.0
2018-07-19,96,87,49,91,86,0.0
2018-07-20,89,80,69,75,79,0.0
2018-07-21,70,59,67,55,32,100.0
2018-07-22,76,56,41,64,34,0.0
2018-07-23,97,86,79,85,85,0.0
2018-07-24,97,95,48,90,90,0.0
2018-07-25,97,92,62,85,95,0.0
2018-07-26,92,91,75,81,100,0.0
2018-07-27,90,89,63,70,81,0.0
2018-07-28,72,52,79,57,33,0.0
2018-07-29,73,61,55,58,34,0.0
2018-07-30,99,98,44,85,76,0.0
2018-07-31,100,99,60,89,86,0.0
2018-08-01,94,83,49,91,92,0.0
2018-08-02,91,100,51,95,100,0.0
2018-08-03,91,85,56,79,91,0.0
2018-08-04,74,55,38,68,33,0.0
2018-08-05,78,63,65,61,38,0.0
2018-08-06,96,86,37,94,99,99.0
2018-08-07,93,90,100,100,84,0.0
2018-08-08,94,90,49,86,91,0.0
2018-08-09,91,97,57,83,95,0.0
2018-08-10,89,79,59,73,73,0.0
2018-08-11,71,59,38,59,37,0.0
2018-08-12,75,69,51,61,32,0.0
2018-08-13,99,85,49,94,81,0.0
2018-08-14,95,90,57,93,77,0.0
2018-08-15,94,80,93,77,65,0.0
2018-08-16,93,90,67,82,77,100.0
2018-08-17,84,79,47,79,81,51.0
2018-08-18,73,52,97,64,36,0.0
2018-08-19,75,56,53,59,29,0.0
2018-08-20,94,78,89,84,82,0.0
2018-08-21,94,100,42,88,96,0.0
2018-08-22,97,87,51,89,70,0.0
2018-08-23,92,86,42,88,93,0.0
2018-08-24,89,77,51,78,78,0.0
2018-08-25,66,52,47,59,34,0.0
2018-08-26,70,52,53,54,32,0.0
2018-08-27,93,79,58,97,78,0.0
2018-08-28,100,89,45,88,83,0.0
2018-08-29,98,92,49,95,94,0.0
2018-08-30,90,90,82,95,86,0.0
2018-08-31,88,79,59,78,77,0.0
2018-09-01,68,58,42,53,35,0.0
2018-09-02,71,64,47,62,40,0.0
2018-09-03,83,66,55,74,74,0.0
2018-09-04,96,87,28,89,92,0.0
2018-09-05,100,99,100,92,97,0.0
2018-09-06,100,94,48,91,91,0.0
2018-09-07,88,86,60,83,85,0.0
2018-09-08,74,60,89,58,36,0.0
2018-09-09,70,59,69,63,38,0.0
2018-09-10,92,90,55,90,93,96.0
2018-09-11,97,87,60,91,94,96.0
2018-09-12,97,86,76,90,100,0.0
2018-09-13,93,86,44,85,59,0.0
2018-09-14,87,87,58,79,84,0.0
2018-09-15,67,65,65,53,44,0.0
2018-09-16,69,63,50,65,42,0.0
2018-09-17,98,96,53,91,97,0.0
2018-09-18,96,100,56,88,89,0.0
2018-09-19,99,95,56,86,100,0.0
2018-09-20,88,98,91,84,85,0.0
2018-09-21,86,78,70,85,73,0.0
2018-09-22,66,59,70,59,38,0.0
2018-09-23,67,71,59,66,33,0.0
2018-09-24,93,96,40,100,93,0.0
2018-09-25,95,90,32,98,83,0.0
2018-09-26,96,98,64,96,91,0.0
2018-09-27,96,93,81,86,96,0.0
2018-09-28,84,92,91,82,87,100.0
2018-09-29,65,60,97,60,51,0.0
2018-09-30,66,64,59,61,38,0.0
2018-10-01,95,89,66,85,90,0.0
2018-10-02,100,95,54,89,71,0.0
2018-10-03,99,90,73,89,86,0.0
2018-10-04,99,92,55,93,87,0.0
2018-10-05,91,81,49,80,82,0.0
2018-10-06,66,60,76,50,39,97.0
2018-10-07,63,63,52,61,43,0.0
2018-10-08,96,97,47,85,83,86.0
2018-10-09,99,92,52,89,100,0.0
2018-10-10,96,92,59,90,91,0.0
2018-10-11,96,94,56,95,78,0.0
2018-10-12,92,90,71,88,85,0.0
2018-10-13,70,58,55,61,37,0.0
2018-10-14,76,59,92,67,35,0.0
2018-10-15,100,98,100,96,87,87.0
2018-10-16,99,95,55,98,96,0.0
2018-10-17,96,88,63,91,90,0.0
2018-10-18,91,100,60,81,66,0.0
2018-10-19,85,84,63,76,74,0.0
2018-10-20,68,65,37,56,42,100.0
2018-10-21,70,64,63,64,44,0.0
2018-10-22,97,88,71,100,87,0.0
2018-10-23,99,95,43,94,90,0.0
2018-10-24,91,88,65,95,88,0.0
2018-10-25,94,94,83,88,87,0.0
2018-10-26,83,83,49,76,75,0.0
2018-10-27,61,58,70,57,39,0.0
2018-10-28,69,51,70,54,35,0.0
2018-10-29,93,95,75,93,68,0.0
2018-10-30,94,96,85,91,98,84.0
2018-10-31,87,99,56,83,81,0.0
2018-11-01,100,82,68,86,85,0.0
2018-11-02,87,77,56,84,80,0.0
2018-11-03,72,62,56,57,45,0.0
2018-11-04,73,64,53,61,36,0.0
2018-11-05,98,88,96,96,98,0.0
2018-11-06,93,83,56,83,90,0.0
2018-11-07,93,84,39,81,73,0.0
2018-11-08,91,90,67,84,65,0.0
2018-11-09,86,76,63,78,87,0.0
2018-11-10,64,59,69,58,45,58.0
2018-11-11,68,56,77,64,36,0.0
2018-11-12,88,89,71,81,82,0.0
2018-11-13,97,88,68,97,94,0.0
2018-11-14,92,99,81,100,80,0.0
2018-11-15,93,85,81,86,79,0.0
2018-11-16,83,84,62,75,72,53.0
2018-11-17,68,57,98,61,41,0.0
2018-11-18,66,65,100,66,38,0.0
2018-11-19,97,94,60,94,84,0.0
2018-11-20,88,92,60,88,77,0.0
2018-11-21,79,82,61,80,84,0.0
2018-11-22,68,67,82,68,73,0.0
2018-11-23,65,64,99,62,48,0.0
2018-11-24,64,56,49,53,26,0.0
2018-11-25,67,57,80,56,43,0.0
2018-11-26,90,93,46,92,78,0.0
2018-11-27,96,95,35,97,94,100.0
2018-11-28,92,97,36,95,100,0.0
2018-11-29,93,100,65,96,75,0.0
2018-11-30,87,89,57,85,86,0.0
2018-12-01,69,71,33,56,31,0.0
2018-12-02,64,62,32,59,32,0.0
2018-12-03,94,88,31,97,90,0.0
2018-12-04,100,93,49,89,100,0.0
2018-12-05,90,89,46,100,90,0.0
2018-12-06,93,91,56,91,89,0.0
2018-12-07,84,76,48,82,73,0.0
2018-12-08,67,57,44,58,38,0.0
2018-12-09,67,60,49,60,40,0.0
2018-12-10,97,100,56,87,95,0.0
2018-12-11,95,84,20,93,84,0.0
2018-12-12,90,87,38,88,90,0.0
2018-12-13,90,92,51,91,89,0.0
2018-12-14,81,76,65,73,68,0.0
2018-12-15,64,53,100,54,47,0.0
2018-12-16,62,49,37,51,29,0.0
2018-12-17,87,79,38,79,78,100.0
2018-12-18,88,87,48,84,92,0.0
2018-12-19,92,84,52,89,78,0.0
2018-12-20,84,78,47,73,98,0.0
2018-12-21,71,63,85,69,77,0.0
