Date,spill,BP,gas,British Petroleum,oil,petroleum
2018-01-22,84,86,87,56,93,87
2018-01-23,84,100,88,42,94,79
2018-01-24,100,91,84,42,90,82
2018-01-25,82,90,85,57,92,85
2018-01-26,77,87,84,74,89,75
2018-01-27,79,83,77,33,93,53
2018-01-28,73,75,75,0,92,60
2018-01-29,80,89,90,42,90,74
2018-01-30,78,87,86,71,93,96
2018-01-31,87,86,88,42,87,89
2018-02-01,90,97,99,50,96,87
2018-02-02,85,84,93,26,94,79
2018-02-03,68,86,88,28,100,54
2018-02-04,74,84,79,14,99,58
2018-02-05,73,94,97,49,90,87
2018-02-06,82,96,95,62,95,100
2018-02-07,93,92,91,25,94,89
2018-02-08,93,94,95,25,97,81
2018-02-09,91,94,95,26,96,87
2018-02-10,65,83,85,0,98,58
2018-02-11,58,77,82,57,97,56
2018-02-12,87,94,96,63,99,82
2018-02-13,100,94,94,50,96,79
2018-02-14,89,91,92,13,86,84
2018-02-15,78,96,94,0,92,84
2018-02-16,83,87,89,13,89,69
2018-02-17,75,91,83,42,93,58
2018-02-18,88,90,84,100,97,49
2018-02-19,90,94,97,50,97,74
2018-02-20,93,97,96,49,94,89
2018-02-21,93,100,92,24,93,81
2018-02-22,89,98,92,25,92,70
2018-02-23,68,96,94,38,96,75
2018-02-24,61,97,87,28,97,62
2018-02-25,85,84,81,41,94,52
2018-02-26,97,95,100,36,96,81
2018-02-27,74,99,98,24,94,69
2018-02-28,85,94,99,48,92,94
2018-03-01,100,89,100,100,90,92
2018-03-02,70,83,98,13,89,84
2018-03-03,73,87,88,29,96,61
2018-03-04,60,77,80,29,92,74
2018-03-05,95,88,91,38,93,85
2018-03-06,97,92,89,38,91,92
2018-03-07,96,93,94,77,90,99
2018-03-08,70,87,92,65,94,97
2018-03-09,89,92,89,41,94,84
2018-03-10,67,90,84,15,95,66
2018-03-11,81,80,82,15,92,50
2018-03-12,69,92,91,38,93,85
2018-03-13,95,90,90,77,93,98
2018-03-14,85,90,90,13,87,100
2018-03-15,70,93,88,52,90,82
2018-03-16,71,90,91,27,89,77
2018-03-17,65,80,80,29,92,54
2018-03-18,72,82,79,29,93,58
2018-03-19,84,95,93,52,97,91
2018-03-20,91,100,89,89,92,91
2018-03-21,96,96,91,39,92,87
2018-03-22,89,96,93,39,94,99
2018-03-23,94,90,94,68,92,82
2018-03-24,69,89,89,30,98,60
2018-03-25,82,88,90,15,97,66
2018-03-26,88,93,96,26,100,83
2018-03-27,80,90,93,26,92,93
2018-03-28,89,93,91,0,95,77
2018-03-29,83,99,91,55,91,77
2018-03-30,72,92,87,44,93,75
2018-03-31,65,83,83,76,95,55
2018-04-01,92,81,80,19,87,49
2018-04-02,61,81,95,67,94,80
2018-04-03,89,92,97,47,96,76
2018-04-04,85,89,92,31,91,81
2018-04-05,90,86,98,0,93,74
2018-04-06,75,89,97,83,91,79
2018-04-07,63,81,84,73,92,52
2018-04-08,89,76,87,36,94,55
2018-04-09,92,89,96,47,94,87
2018-04-10,83,95,95,47,94,80
2018-04-11,78,89,93,77,91,83
2018-04-12,79,97,96,63,93,81
2018-04-13,80,86,92,98,90,70
2018-04-14,87,89,98,74,97,45
2018-04-15,79,83,86,0,95,51
2018-04-16,86,91,100,31,95,88
2018-04-17,95,91,96,16,90,83
2018-04-18,96,95,93,16,94,82
2018-04-19,77,100,99,16,93,82
2018-04-20,84,92,94,100,94,79
2018-04-21,67,85,89,19,100,62
2018-04-22,80,91,88,54,98,49
2018-04-23,86,93,96,92,97,83
2018-04-24,87,91,95,62,92,82
2018-04-25,96,98,97,47,93,88
2018-04-26,93,91,94,16,94,71
2018-04-27,100,91,94,50,90,72
2018-04-28,80,88,88,37,98,68
2018-04-29,73,87,87,18,93,47
2018-04-30,78,95,99,81,97,100
2018-05-01,94,91,86,52,93,95
2018-05-02,79,97,88,33,94,89
2018-05-03,88,87,89,100,92,87
2018-05-04,80,90,86,51,93,82
2018-05-05,67,82,79,19,100,43
2018-05-06,62,83,82,57,95,58
2018-05-07,59,87,88,33,95,88
2018-05-08,96,93,89,49,98,86
2018-05-09,100,95,85,66,96,84
2018-05-10,96,94,85,83,97,100
2018-05-11,91,87,85,51,94,85
2018-05-12,73,80,79,38,92,49
2018-05-13,64,82,74,19,88,54
2018-05-14,86,91,86,33,93,90
2018-05-15,69,99,86,49,92,96
2018-05-16,90,94,88,49,90,84
2018-05-17,76,96,87,66,94,88
2018-05-18,75,100,86,35,89,81
2018-05-19,59,88,77,38,94,49
2018-05-20,58,87,88,58,100,53
2018-05-21,80,96,90,50,97,92
2018-05-22,66,93,90,49,95,100
2018-05-23,77,95,89,49,94,87
2018-05-24,63,95,96,33,92,80
2018-05-25,85,99,99,53,94,72
2018-05-26,43,91,97,19,98,55
2018-05-27,78,90,92,39,92,59
2018-05-28,53,95,100,68,91,80
2018-05-29,75,94,98,16,92,99
2018-05-30,82,94,92,33,90,78
2018-05-31,74,88,95,51,93,87
2018-06-01,85,85,100,62,93,80
2018-06-02,55,75,97,24,98,56
2018-06-03,73,79,94,0,100,65
2018-06-04,83,87,96,40,94,99
2018-06-05,79,84,95,80,95,95
2018-06-06,77,90,92,100,92,92
2018-06-07,71,87,89,20,93,81
2018-06-08,60,89,89,0,90,77
2018-06-09,75,93,88,0,95,53
2018-06-10,69,86,82,0,95,64
2018-06-11,86,89,92,19,93,83
2018-06-12,78,95,88,91,93,85
2018-06-13,78,87,89,55,94,87
2018-06-14,81,89,85,59,92,81
2018-06-15,75,90,86,21,92,70
2018-06-16,72,87,82,0,96,52
2018-06-17,75,84,78,46,88,50
2018-06-18,84,89,83,20,91,85
2018-06-19,68,87,83,39,89,70
2018-06-20,100,93,85,40,93,81
2018-06-21,74,91,84,99,90,78
2018-06-22,91,95,82,21,93,68
2018-06-23,92,92,79,23,96,55
2018-06-24,95,81,79,68,93,59
2018-06-25,90,90,87,39,91,77
2018-06-26,83,89,84,39,88,89
2018-06-27,74,85,82,0,93,76
2018-06-28,75,90,85,40,92,100
2018-06-29,76,100,88,21,98,93
2018-06-30,75,96,85,23,96,63
2018-07-01,91,80,91,56,85,62
2018-07-02,79,81,98,49,87,82
2018-07-03,82,85,99,16,88,81
2018-07-04,81,88,98,34,86,78
2018-07-05,92,84,100,51,88,91
2018-07-06,76,87,94,0,87,88
2018-07-07,65,78,91,56,90,64
2018-07-08,76,83,93,0,94,64
2018-07-09,85,84,98,49,93,88
2018-07-10,83,86,94,47,91,88
2018-07-11,64,84,95,31,91,88
2018-07-12,84,84,96,17,90,94
2018-07-13,76,86,97,18,93,78
2018-07-14,75,87,90,78,96,66
2018-07-15,79,76,92,39,93,62
2018-07-16,91,85,99,51,93,91
2018-07-17,96,88,95,34,95,81
2018-07-18,84,90,94,68,96,100
2018-07-19,94,86,100,34,93,79
2018-07-20,64,94,91,18,93,92
2018-07-21,72,89,90,20,100,59
2018-07-22,76,84,90,78,94,69
2018-07-23,74,86,98,67,96,90
2018-07-24,94,88,98,0,92,89
2018-07-25,94,90,97,0,91,97
2018-07-26,91,92,93,34,89,97
2018-07-27,91,93,91,52,90,88
2018-07-28,69,88,88,19,93,60
2018-07-29,79,94,89,19,93,77
2018-07-30,100,93,96,100,90,84
2018-07-31,90,100,93,33,91,86
2018-08-01,35,96,92,29,93,93
2018-08-02,32,90,100,41,96,95
2018-08-03,34,96,98,30,96,71
2018-08-04,28,94,93,17,100,59
2018-08-05,38,83,91,48,93,59
2018-08-06,31,94,99,43,96,86
2018-08-07,36,92,89,28,93,99
2018-08-08,35,97,94,14,94,90
2018-08-09,35,93,87,42,93,83
2018-08-10,39,97,89,44,92,81
2018-08-11,38,95,87,33,100,61
2018-08-12,34,89,83,0,97,58
2018-08-13,37,92,95,57,94,100
2018-08-14,35,90,89,42,93,86
2018-08-15,38,92,87,29,94,83
2018-08-16,46,94,87,0,91,99
2018-08-17,42,100,88,44,92,87
2018-08-18,29,97,87,34,99,49
2018-08-19,37,93,83,50,95,73
2018-08-20,46,90,90,15,93,76
2018-08-21,54,96,87,29,94,95
2018-08-22,65,93,87,30,97,83
2018-08-23,100,94,90,15,93,92
2018-08-24,100,95,88,15,90,64
2018-08-25,40,90,84,33,95,66
2018-08-26,36,88,85,67,92,57
2018-08-27,38,96,89,43,91,86
2018-08-28,46,96,91,14,92,82
2018-08-29,43,92,93,14,91,85
2018-08-30,44,99,87,100,93,84
2018-08-31,38,98,90,59,92,75
2018-09-01,69,93,77,76,98,49
2018-09-02,50,88,77,38,97,60
2018-09-03,78,88,85,87,99,77
2018-09-04,79,89,81,33,99,77
2018-09-05,73,90,80,33,94,82
2018-09-06,100,90,82,49,96,78
2018-09-07,78,91,79,70,99,87
2018-09-08,73,93,75,19,100,51
2018-09-09,78,89,73,57,99,69
2018-09-10,66,89,82,65,99,74
2018-09-11,76,96,84,82,98,83
2018-09-12,74,92,83,0,99,100
2018-09-13,64,90,86,33,93,79
2018-09-14,73,91,100,69,95,85
2018-09-15,82,100,82,57,100,70
2018-09-16,89,94,76,38,95,57
2018-09-17,87,98,85,50,95,98
2018-09-18,88,90,82,49,96,88
2018-09-19,69,99,83,17,98,94
2018-09-20,66,83,83,49,96,83
2018-09-21,81,69,79,51,96,85
2018-09-22,79,72,73,38,95,66
2018-09-23,79,68,75,19,94,59
2018-09-24,89,73,85,100,99,86
2018-09-25,74,76,81,33,99,83
2018-09-26,89,72,81,50,99,83
2018-09-27,63,81,81,67,95,84
2018-09-28,79,74,79,51,92,70
2018-09-29,45,72,73,38,100,53
2018-09-30,71,73,74,75,98,64
2018-10-01,71,82,94,69,94,100
2018-10-02,77,80,92,51,96,35
2018-10-03,74,78,91,34,90,29
2018-10-04,90,77,95,35,97,36
2018-10-05,72,78,92,36,95,30
2018-10-06,61,79,86,80,97,21
2018-10-07,60,69,82,38,89,23
2018-10-08,76,79,100,0,96,31
2018-10-09,82,89,96,67,94,31
2018-10-10,80,82,95,35,94,32
2018-10-11,72,81,95,71,91,30
2018-10-12,71,78,95,19,94,28
2018-10-13,74,77,88,41,98,22
2018-10-14,72,79,90,20,95,27
2018-10-15,72,80,100,18,100,31
2018-10-16,66,78,95,70,98,29
2018-10-17,77,80,95,18,94,33
2018-10-18,70,80,94,0,93,30
2018-10-19,78,84,92,37,93,28
2018-10-20,63,82,84,0,99,22
2018-10-21,60,79,86,20,96,19
2018-10-22,84,80,99,35,99,29
2018-10-23,98,85,97,0,95,29
2018-10-24,100,87,93,17,93,30
2018-10-25,89,90,92,0,90,34
2018-10-26,82,100,93,37,95,28
2018-10-27,66,93,84,19,95,22
2018-10-28,72,83,86,58,94,25
2018-10-29,67,97,97,100,93,30
2018-10-30,82,93,96,34,95,33
2018-10-31,81,88,91,71,87,34
2018-11-01,69,93,87,26,89,80
2018-11-02,78,96,87,93,94,86
2018-11-03,58,90,76,14,92,58
2018-11-04,67,83,79,0,91,57
2018-11-05,75,89,89,35,93,87
2018-11-06,66,83,83,87,88,84
2018-11-07,80,82,85,12,85,90
2018-11-08,92,91,88,25,91,88
2018-11-09,84,97,83,39,88,70
2018-11-10,68,100,81,0,97,54
2018-11-11,66,90,78,56,95,58
2018-11-12,82,94,90,37,96,77
2018-11-13,78,99,89,25,99,93
2018-11-14,75,100,91,100,97,92
2018-11-15,69,99,90,63,92,94
2018-11-16,75,90,90,13,96,79
2018-11-17,60,92,81,14,100,60
2018-11-18,90,86,80,56,98,70
2018-11-19,77,92,92,62,93,93
2018-11-20,100,90,87,12,95,79
2018-11-21,91,89,91,25,100,67
2018-11-22,79,92,85,51,88,69
2018-11-23,80,86,83,38,92,71
2018-11-24,72,84,81,14,92,55
2018-11-25,72,82,83,0,92,66
2018-11-26,68,89,100,24,95,100
2018-11-27,77,87,96,12,92,100
2018-11-28,68,86,93,37,95,88
2018-11-29,73,90,91,62,90,90
2018-11-30,75,86,91,25,93,69
2018-12-01,76,92,91,0,97,69
2018-12-02,80,85,87,85,93,62
2018-12-03,67,90,100,45,95,92
2018-12-04,85,91,100,45,94,88
2018-12-05,95,88,100,30,91,86
2018-12-06,89,97,99,16,93,89
2018-12-07,85,90,95,80,94,85
2018-12-08,59,89,89,18,95,67
2018-12-09,69,82,87,69,90,62
2018-12-10,82,91,99,62,96,90
2018-12-11,87,91,94,0,92,98
2018-12-12,93,86,93,62,91,78
2018-12-13,100,90,94,31,92,75
2018-12-14,76,91,95,31,94,81
2018-12-15,60,91,86,0,94,53
2018-12-16,64,83,87,0,92,63
2018-12-17,69,89,95,100,94,88
2018-12-18,85,91,97,30,99,90
2018-12-19,83,94,95,16,99,100
2018-12-20,71,88,92,49,97,92
2018-12-21,62,96,91,17,97,77
2018-12-22,71,89,84,18,94,54
2018-12-23,52,89,83,57,90,66
2018-12-24,61,100,88,18,92,79
2018-12-25,79,97,95,39,76,56
2018-12-26,73,93,90,17,92,61
2018-12-27,80,98,91,50,99,66
2018-12-28,71,96,95,17,100,62
2018-12-29,54,88,91,37,99,56
2018-12-30,60,86,89,19,94,54
2018-12-31,59,94,91,0,96,58
2019-01-01,63,92,81,0,83,55
2019-01-02,55,100,95,53,97,71
