Date,Legal & General,assurance,insurance,business,pensions,investment
2017-09-23,29,51,60,57,48,59
2017-09-24,0,42,52,62,39,57
2017-09-25,25,93,90,96,96,90
2017-09-26,73,91,88,94,83,100
2017-09-27,37,81,91,95,91,85
2017-09-28,100,90,88,95,82,85
2017-09-29,40,84,85,85,86,76
2017-09-30,15,56,56,54,52,49
2017-10-01,0,56,52,60,30,56
2017-10-02,0,94,89,90,90,80
2017-10-03,64,100,100,98,75,91
2017-10-04,13,93,93,95,65,88
2017-10-05,39,94,94,92,56,84
2017-10-06,40,87,86,86,72,83
2017-10-07,15,58,62,59,30,55
2017-10-08,15,52,60,65,45,67
2017-10-09,63,85,92,94,79,91
2017-10-10,100,95,95,98,91,97
2017-10-11,38,94,96,95,79,89
2017-10-12,26,98,92,98,84,94
2017-10-13,53,92,91,86,70,82
2017-10-14,0,56,60,60,35,57
2017-10-15,15,52,62,63,50,67
2017-10-16,26,98,100,98,100,98
2017-10-17,38,92,91,94,72,94
2017-10-18,26,81,89,96,83,88
2017-10-19,26,92,91,95,85,87
2017-10-20,53,90,78,81,75,77
2017-10-21,0,55,62,59,26,57
2017-10-22,14,54,53,62,43,59
2017-10-23,74,97,93,94,69,91
2017-10-24,13,90,95,100,66,94
2017-10-25,0,85,91,94,100,100
2017-10-26,26,91,90,95,69,88
2017-10-27,40,85,86,86,62,76
2017-10-28,15,52,58,55,38,58
2017-10-29,0,54,52,63,45,60
2017-10-30,25,94,96,92,65,97
2017-10-31,13,85,90,98,66,93
2017-11-01,100,70,97,96,67,98
2017-11-02,40,100,100,96,62,100
2017-11-03,40,97,91,86,78,85
2017-11-04,22,55,62,63,29,57
2017-11-05,21,55,58,62,31,65
2017-11-06,76,97,99,98,63,93
2017-11-07,0,100,93,97,100,94
2017-11-08,38,94,95,98,77,96
2017-11-09,57,90,92,94,56,92
2017-11-10,79,87,84,83,51,82
2017-11-11,44,55,59,57,23,56
2017-11-12,0,52,61,65,34,63
2017-11-13,19,98,100,93,63,92
2017-11-14,38,93,93,100,70,95
2017-11-15,56,96,92,97,65,91
2017-11-16,19,85,89,94,56,89
2017-11-17,20,78,86,84,69,81
2017-11-18,22,60,57,57,29,57
2017-11-19,43,57,50,60,28,60
2017-11-20,57,97,90,90,65,91
2017-11-21,56,94,87,94,74,93
2017-11-22,76,85,81,85,84,83
2017-11-23,59,86,58,72,56,75
2017-11-24,78,82,57,65,44,64
2017-11-25,0,53,50,58,30,54
2017-11-26,43,48,50,62,33,63
2017-11-27,37,91,92,89,61,93
2017-11-28,18,92,91,94,74,92
2017-11-29,57,96,87,96,61,99
2017-11-30,57,85,87,92,55,97
2017-12-01,34,79,90,84,79,72
2017-12-02,19,52,61,60,40,55
2017-12-03,19,55,55,66,34,61
2017-12-04,32,88,99,98,97,90
2017-12-05,65,96,99,100,100,89
2017-12-06,83,90,96,98,90,95
2017-12-07,100,93,93,98,87,93
2017-12-08,34,82,85,82,60,82
2017-12-09,19,51,60,60,43,60
2017-12-10,19,58,61,63,44,60
2017-12-11,81,89,100,95,86,100
2017-12-12,32,88,96,95,85,96
2017-12-13,32,92,94,97,94,91
2017-12-14,17,87,90,91,88,83
2017-12-15,52,85,93,81,69,77
2017-12-16,38,61,59,55,57,52
2017-12-17,0,50,50,57,53,62
2017-12-18,33,86,89,87,97,83
2017-12-19,17,91,89,91,82,94
2017-12-20,17,78,87,89,91,83
2017-12-21,53,80,83,84,79,75
2017-12-22,0,78,75,69,65,71
2017-12-23,0,48,51,52,39,52
2017-12-24,0,35,37,44,39,44
2017-12-25,0,37,34,46,22,52
2017-12-26,0,75,69,59,29,58
2017-12-27,54,84,87,72,67,72
2017-12-28,36,100,86,72,68,79
2017-12-29,37,80,84,67,66,64
2017-12-30,0,52,58,53,53,50
2017-12-31,41,36,48,50,53,53
2018-01-01,0,46,47,49,37,56
2018-01-02,12,80,90,80,93,84
2018-01-03,12,93,92,87,83,94
2018-01-04,46,95,85,88,70,93
2018-01-05,48,86,88,82,75,91
2018-01-06,13,58,61,61,36,59
2018-01-07,13,55,55,59,53,69
2018-01-08,34,95,90,90,100,96
2018-01-09,45,100,88,95,99,97
2018-01-10,46,94,89,95,89,96
2018-01-11,45,87,88,95,89,98
2018-01-12,23,85,80,86,74,90
2018-01-13,13,58,57,58,34,58
2018-01-14,13,55,56,59,43,62
2018-01-15,11,96,81,89,75,89
2018-01-16,56,96,87,93,62,100
2018-01-17,100,92,82,91,80,99
2018-01-18,23,91,86,95,90,90
2018-01-19,46,72,79,87,88,83
2018-01-20,26,58,57,59,52,58
2018-01-21,13,54,51,60,57,61
2018-01-22,55,94,89,93,86,91
2018-01-23,44,95,85,100,97,95
2018-01-24,33,86,90,98,78,96
2018-01-25,23,90,87,90,81,83
2018-01-26,12,86,82,83,61,79
2018-01-27,0,53,61,58,53,59
2018-01-28,0,56,59,64,44,66
2018-01-29,78,99,100,98,87,89
2018-01-30,56,100,91,99,82,99
2018-01-31,33,88,88,96,95,92
2018-02-01,57,97,96,97,83,97
2018-02-02,29,84,89,85,75,94
2018-02-03,0,61,66,61,51,63
2018-02-04,16,57,58,60,53,65
2018-02-05,28,94,99,92,100,100
2018-02-06,56,98,99,97,90,99
2018-02-07,70,93,97,97,73,90
2018-02-08,14,93,95,95,72,95
2018-02-09,29,84,90,85,78,85
2018-02-10,0,52,63,57,41,59
2018-02-11,16,49,53,62,45,66
2018-02-12,85,95,100,93,83,89
2018-02-13,43,92,97,96,79,91
2018-02-14,100,91,83,88,76,90
2018-02-15,29,97,86,87,83,89
2018-02-16,73,82,84,79,66,75
2018-02-17,0,57,60,55,42,54
2018-02-18,16,51,56,62,36,68
2018-02-19,28,93,89,87,65,89
2018-02-20,56,100,96,100,90,93
2018-02-21,42,96,91,93,78,85
2018-02-22,28,89,97,93,90,90
2018-02-23,43,84,91,84,70,83
2018-02-24,0,53,65,60,54,57
2018-02-25,16,56,54,60,49,61
2018-02-26,0,86,99,93,66,89
2018-02-27,0,88,98,95,80,98
2018-02-28,41,87,100,92,94,82
2018-03-01,32,87,95,87,65,89
2018-03-02,85,84,91,85,72,78
2018-03-03,37,55,65,63,39,57
2018-03-04,0,48,60,63,41,64
2018-03-05,80,92,98,97,82,88
2018-03-06,32,90,98,99,70,94
2018-03-07,33,88,95,100,80,89
2018-03-08,33,91,91,95,78,95
2018-03-09,86,79,87,92,92,84
2018-03-10,0,54,66,62,41,58
2018-03-11,18,57,56,64,37,62
2018-03-12,32,98,96,95,88,94
2018-03-13,49,92,93,97,76,100
2018-03-14,80,84,89,96,82,94
2018-03-15,66,92,90,97,87,91
2018-03-16,34,77,92,85,74,75
2018-03-17,0,56,63,59,50,53
2018-03-18,0,50,58,60,52,65
2018-03-19,33,92,100,96,97,94
2018-03-20,49,100,94,98,93,92
2018-03-21,49,86,93,95,100,92
2018-03-22,50,94,93,97,94,95
2018-03-23,52,83,86,85,75,77
2018-03-24,38,53,62,60,37,58
2018-03-25,58,53,55,62,46,62
2018-03-26,100,89,96,93,83,92
2018-03-27,50,95,98,97,75,96
2018-03-28,34,92,93,94,86,93
2018-03-29,52,90,93,91,79,90
2018-03-30,37,77,80,72,51,68
2018-03-31,0,55,59,56,43,55
2018-04-01,0,36,49,55,40,62
2018-04-02,53,48,95,82,60,83
2018-04-03,0,82,99,90,89,99
2018-04-04,50,81,100,92,91,86
2018-04-05,51,77,96,93,79,85
2018-04-06,0,63,88,84,89,86
2018-04-07,0,40,62,61,27,59
2018-04-08,0,40,57,64,43,65
2018-04-09,33,77,100,97,84,92
2018-04-10,49,75,97,96,82,91
2018-04-11,66,74,92,91,77,84
2018-04-12,33,66,87,92,86,86
2018-04-13,35,65,96,84,68,80
2018-04-14,20,44,63,57,30,55
2018-04-15,39,43,60,63,47,63
2018-04-16,100,75,97,94,90,100
2018-04-17,67,71,98,100,80,100
2018-04-18,0,68,88,94,87,96
2018-04-19,35,71,90,94,72,88
2018-04-20,71,64,80,80,63,77
2018-04-21,0,40,59,56,37,60
2018-04-22,19,37,52,57,43,62
2018-04-23,49,73,96,92,87,90
2018-04-24,49,74,93,96,80,96
2018-04-25,67,73,88,93,98,85
2018-04-26,17,66,85,91,76,86
2018-04-27,53,63,87,83,92,79
2018-04-28,0,44,59,58,37,53
2018-04-29,0,44,53,59,39,61
2018-04-30,52,100,100,91,100,89
2018-05-01,75,89,99,96,99,93
2018-05-02,57,100,95,99,80,100
2018-05-03,72,96,94,97,97,96
2018-05-04,30,78,86,84,72,88
2018-05-05,0,58,57,58,26,64
2018-05-06,16,47,51,59,31,63
2018-05-07,14,82,90,93,45,98
2018-05-08,14,65,96,99,97,99
2018-05-09,14,83,96,98,93,95
2018-05-10,14,63,93,95,79,96
2018-05-11,15,80,83,87,74,89
2018-05-12,33,54,58,59,43,62
2018-05-13,16,52,53,59,60,59
2018-05-14,57,95,98,96,89,99
2018-05-15,57,95,100,98,96,98
2018-05-16,29,89,91,97,78,96
2018-05-17,43,79,89,100,80,90
2018-05-18,60,81,86,89,70,84
2018-05-19,0,50,56,57,26,53
2018-05-20,0,47,59,67,40,67
2018-05-21,29,58,95,93,89,95
2018-05-22,43,87,97,99,93,93
2018-05-23,100,88,91,96,74,97
2018-05-24,58,87,90,96,73,87
2018-05-25,15,80,88,85,80,80
2018-05-26,0,61,57,58,31,53
2018-05-27,0,51,56,64,24,62
2018-05-28,29,96,63,76,56,81
2018-05-29,56,86,98,94,84,86
2018-05-30,85,88,96,95,100,92
2018-05-31,29,92,97,93,82,88
2018-06-01,15,85,90,83,95,82
2018-06-02,0,61,63,62,49,66
2018-06-03,0,57,61,65,39,70
2018-06-04,57,99,100,95,95,96
2018-06-05,100,100,100,100,95,100
2018-06-06,71,99,91,99,95,97
2018-06-07,28,87,87,97,100,98
2018-06-08,45,77,86,86,73,87
2018-06-09,17,51,62,60,51,60
2018-06-10,0,58,56,62,31,66
2018-06-11,41,99,94,90,94,92
2018-06-12,52,91,98,98,97,97
2018-06-13,40,85,94,92,84,96
2018-06-14,28,81,89,88,87,92
2018-06-15,15,77,89,80,71,90
2018-06-16,0,48,54,51,47,54
2018-06-17,0,47,49,56,19,58
2018-06-18,14,85,92,92,65,93
2018-06-19,14,87,91,92,71,94
2018-06-20,100,83,93,93,85,96
2018-06-21,42,80,88,92,94,96
2018-06-22,30,75,87,82,80,84
2018-06-23,0,49,55,59,26,57
2018-06-24,65,49,49,61,37,59
2018-06-25,42,87,98,91,65,90
2018-06-26,42,86,92,97,89,100
2018-06-27,14,80,87,93,83,89
2018-06-28,0,94,88,93,77,89
2018-06-29,75,80,91,87,65,84
2018-06-30,0,50,62,57,44,51
2018-07-01,14,44,56,61,45,55
2018-07-02,73,85,90,89,80,86
2018-07-03,98,100,87,93,79,78
2018-07-04,51,98,65,79,69,73
2018-07-05,51,92,87,87,80,82
2018-07-06,0,72,79,82,54,73
2018-07-07,14,54,54,57,25,46
2018-07-08,14,49,54,62,57,61
2018-07-09,49,93,97,94,84,95
2018-07-10,82,90,90,91,92,81
2018-07-11,45,89,85,92,79,75
2018-07-12,38,90,88,97,78,85
2018-07-13,39,80,88,86,94,74
2018-07-14,0,52,59,60,38,58
2018-07-15,0,48,53,62,43,60
2018-07-16,50,92,95,94,93,86
2018-07-17,37,99,98,97,99,92
2018-07-18,63,92,89,100,92,100
2018-07-19,25,88,93,96,77,91
2018-07-20,66,92,91,86,82,75
2018-07-21,29,61,58,60,42,55
2018-07-22,15,54,60,67,54,64
2018-07-23,100,95,95,97,66,85
2018-07-24,25,99,92,94,100,90
2018-07-25,38,92,94,97,93,85
2018-07-26,25,86,91,94,73,81
2018-07-27,38,85,85,84,61,70
2018-07-28,0,55,59,61,46,57
2018-07-29,29,54,58,65,51,58
2018-07-30,74,97,100,97,69,85
2018-07-31,98,98,98,96,98,89
2018-08-01,39,80,97,97,78,91
2018-08-02,37,86,94,92,85,95
2018-08-03,61,82,87,84,63,79
2018-08-04,45,55,68,62,30,68
2018-08-05,0,52,62,66,43,61
2018-08-06,78,90,100,96,76,94
2018-08-07,75,88,97,93,92,100
2018-08-08,38,75,94,93,88,86
2018-08-09,38,85,89,89,91,83
2018-08-10,100,73,85,84,54,73
2018-08-11,45,61,67,63,47,59
2018-08-12,0,54,63,61,53,61
2018-08-13,78,95,98,94,60,94
2018-08-14,19,76,96,94,100,93
2018-08-15,100,67,93,88,71,77
2018-08-16,59,79,90,92,100,82
2018-08-17,40,73,85,83,65,79
2018-08-18,23,52,60,59,48,64
2018-08-19,0,56,58,61,54,59
2018-08-20,100,91,96,93,94,84
2018-08-21,99,90,90,95,84,88
2018-08-22,80,87,90,93,83,89
2018-08-23,79,89,88,92,91,88
2018-08-24,40,78,83,84,74,78
2018-08-25,0,54,55,58,44,59
2018-08-26,23,52,55,62,56,54
2018-08-27,0,100,88,88,56,97
2018-08-28,39,91,91,100,84,88
2018-08-29,58,88,89,96,90,95
2018-08-30,77,90,90,95,86,95
2018-08-31,59,81,88,84,81,78
2018-09-01,16,53,65,56,57,53
2018-09-02,0,50,59,60,48,62
2018-09-03,0,100,75,83,95,74
2018-09-04,29,95,100,94,95,89
2018-09-05,57,97,98,99,88,92
2018-09-06,85,94,96,96,89,91
2018-09-07,15,84,94,89,53,83
2018-09-08,17,55,64,61,53,58
2018-09-09,0,50,61,65,39,63
2018-09-10,42,89,100,98,69,90
2018-09-11,42,87,100,97,80,91
2018-09-12,43,93,94,97,80,90
2018-09-13,100,84,88,93,93,85
2018-09-14,59,77,91,84,79,79
2018-09-15,17,56,63,59,45,53
2018-09-16,16,50,58,63,43,65
2018-09-17,29,87,99,98,83,91
2018-09-18,56,83,99,99,100,88
2018-09-19,43,88,97,98,89,86
2018-09-20,56,76,97,95,72,84
2018-09-21,29,78,88,85,49,85
2018-09-22,17,56,63,58,48,59
2018-09-23,16,50,58,62,51,66
2018-09-24,29,92,99,97,79,100
2018-09-25,57,87,94,99,72,98
2018-09-26,57,86,94,100,81,96
2018-09-27,43,84,88,95,89,86
2018-09-28,73,78,87,84,83,82
2018-09-29,16,51,60,58,43,60
2018-09-30,32,50,56,61,29,61
2018-10-01,28,87,95,96,100,85
2018-10-02,28,89,92,94,70,89
2018-10-03,14,94,94,99,58,89
2018-10-04,29,90,93,100,55,93
2018-10-05,29,81,99,87,52,80
2018-10-06,32,59,60,60,34,50
2018-10-07,16,50,54,60,27,61
2018-10-08,0,88,91,96,60,85
