Date,network,BT,EE,data,services,communications
2017-09-11,86,77,75,88,95,83
2017-09-12,81,99,96,97,98,100
2017-09-13,85,100,100,100,96,91
2017-09-14,88,87,90,96,94,95
2017-09-15,91,73,99,87,93,84
2017-09-16,94,82,84,64,53,46
2017-09-17,82,69,76,64,50,42
2017-09-18,89,75,83,90,96,92
2017-09-19,87,79,84,94,100,93
2017-09-20,84,74,79,87,96,86
2017-09-21,87,75,78,89,96,92
2017-09-22,87,78,87,84,89,78
2017-09-23,83,70,77,62,50,50
2017-09-24,80,68,84,61,49,44
2017-09-25,88,78,78,88,95,81
2017-09-26,84,87,84,89,94,90
2017-09-27,86,88,84,87,91,88
2017-09-28,84,75,77,89,92,91
2017-09-29,84,74,85,77,89,83
2017-09-30,77,77,77,59,49,43
2017-10-01,84,76,71,68,49,45
2017-10-02,89,79,67,87,94,94
2017-10-03,91,83,65,93,96,97
2017-10-04,98,80,69,97,92,89
2017-10-05,98,78,67,96,93,93
2017-10-06,99,82,61,85,84,81
2017-10-07,93,80,61,67,53,49
2017-10-08,87,74,57,68,50,48
2017-10-09,94,78,61,91,96,85
2017-10-10,100,77,100,94,96,91
2017-10-11,97,81,67,100,99,100
2017-10-12,97,79,64,96,98,94
2017-10-13,92,78,61,85,88,88
2017-10-14,88,85,52,70,52,42
2017-10-15,85,76,59,69,51,41
2017-10-16,93,80,66,95,100,93
2017-10-17,92,100,64,93,93,93
2017-10-18,91,98,59,94,91,98
2017-10-19,90,88,56,93,90,86
2017-10-20,87,83,62,84,79,74
2017-10-21,80,85,57,64,49,49
2017-10-22,80,79,54,67,45,44
2017-10-23,92,80,64,97,93,95
2017-10-24,92,78,63,100,92,96
2017-10-25,92,79,62,99,91,90
2017-10-26,91,87,58,96,87,99
2017-10-27,92,78,83,86,80,86
2017-10-28,82,78,60,66,49,50
2017-10-29,87,73,58,70,46,50
2017-10-30,95,86,68,96,91,95
2017-10-31,88,93,61,90,86,98
2017-11-01,91,90,90,94,92,100
2017-11-02,95,84,81,97,95,95
2017-11-03,93,81,93,88,87,91
2017-11-04,86,80,86,69,57,57
2017-11-05,84,75,85,72,51,55
2017-11-06,88,74,90,97,99,100
2017-11-07,88,77,81,96,94,95
2017-11-08,88,75,94,100,100,99
2017-11-09,100,73,85,98,93,92
2017-11-10,93,75,88,87,87,82
2017-11-11,87,66,89,67,51,44
2017-11-12,83,68,74,71,49,45
2017-11-13,88,71,84,93,92,88
2017-11-14,91,76,84,96,96,91
2017-11-15,95,80,90,99,97,83
2017-11-16,94,73,85,98,93,85
2017-11-17,89,78,82,89,88,89
2017-11-18,88,83,74,69,50,42
2017-11-19,90,69,91,68,47,39
2017-11-20,95,80,91,94,91,84
2017-11-21,92,96,89,94,91,87
2017-11-22,92,97,95,93,87,78
2017-11-23,91,100,97,84,65,62
2017-11-24,80,94,100,77,61,61
2017-11-25,86,91,87,66,44,45
2017-11-26,81,78,85,67,45,38
2017-11-27,90,82,87,90,90,82
2017-11-28,89,91,84,91,97,94
2017-11-29,90,87,84,95,93,85
2017-11-30,87,75,80,95,90,86
2017-12-01,83,80,94,88,85,95
2017-12-02,76,91,87,68,51,55
2017-12-03,75,76,88,72,51,49
2017-12-04,85,84,89,100,99,94
2017-12-05,92,100,95,97,100,100
2017-12-06,89,94,86,100,100,99
2017-12-07,89,86,86,97,97,92
2017-12-08,91,79,88,85,85,88
2017-12-09,76,80,80,69,54,53
2017-12-10,82,81,82,68,55,50
2017-12-11,92,90,91,91,99,96
2017-12-12,100,92,94,94,93,98
2017-12-13,91,92,83,92,93,91
2017-12-14,90,87,86,92,95,92
2017-12-15,89,82,85,83,85,96
2017-12-16,81,84,87,63,53,49
2017-12-17,81,75,83,65,52,46
2017-12-18,90,82,90,90,93,79
2017-12-19,93,80,86,86,94,97
2017-12-20,91,77,97,90,93,85
2017-12-21,91,77,90,86,86,89
2017-12-22,87,79,82,73,72,69
2017-12-23,79,76,81,60,49,55
