Date,treatment,MedImmune,Covid,research,drug,AstraZeneca
2017-08-01,94,95,0.0,84,100,68
2017-08-02,99,0,100.0,82,95,100
2017-08-03,90,0,0.0,84,90,56
2017-08-04,86,33,0.0,74,93,38
2017-08-05,85,0,0.0,55,83,32
2017-08-06,89,76,0.0,61,84,20
2017-08-07,91,63,0.0,77,96,74
2017-08-08,100,62,0.0,82,97,50
2017-08-09,92,32,0.0,86,90,41
2017-08-10,96,98,0.0,85,90,45
2017-08-11,90,100,0.0,75,91,31
2017-08-12,88,0,0.0,54,77,26
2017-08-13,82,0,0.0,54,76,14
2017-08-14,96,33,0.0,78,87,55
2017-08-15,93,67,0.0,81,90,59
2017-08-16,92,65,0.0,89,90,47
2017-08-17,93,0,0.0,80,88,54
2017-08-18,87,33,0.0,75,88,64
2017-08-19,79,0,0.0,56,78,23
2017-08-20,84,0,0.0,58,78,25
2017-08-21,91,31,0.0,82,84,36
2017-08-22,91,64,0.0,86,92,51
2017-08-23,90,32,0.0,89,95,47
2017-08-24,89,64,0.0,89,91,47
2017-08-25,84,68,0.0,72,82,41
2017-08-26,82,0,0.0,57,73,20
2017-08-27,81,37,0.0,56,73,17
2017-08-28,86,32,0.0,86,87,50
2017-08-29,92,31,0.0,91,86,48
2017-08-30,90,64,0.0,100,90,61
2017-08-31,85,64,0.0,86,92,76
2017-09-01,87,0,0.0,72,91,61
2017-09-02,84,100,0.0,52,79,32
2017-09-03,88,98,0.0,56,81,39
2017-09-04,89,0,0.0,74,89,62
2017-09-05,94,83,95.0,85,89,62
2017-09-06,100,83,0.0,89,87,85
2017-09-07,97,43,0.0,93,94,76
2017-09-08,88,43,0.0,100,87,100
2017-09-09,83,0,0.0,55,74,27
2017-09-10,85,48,0.0,69,76,38
2017-09-11,97,41,0.0,92,90,62
2017-09-12,94,82,0.0,88,95,81
2017-09-13,97,41,0.0,95,93,66
2017-09-14,95,0,0.0,93,96,62
2017-09-15,94,44,100.0,84,93,45
2017-09-16,85,0,0.0,60,79,38
2017-09-17,90,0,0.0,65,77,19
2017-09-18,100,84,0.0,96,100,73
2017-09-19,98,82,94.0,93,99,59
2017-09-20,95,42,0.0,93,98,86
2017-09-21,98,84,0.0,88,95,100
2017-09-22,93,0,0.0,85,92,94
2017-09-23,87,98,0.0,62,79,23
2017-09-24,85,95,0.0,66,80,19
2017-09-25,99,83,0.0,98,98,89
2017-09-26,99,0,0.0,100,98,81
2017-09-27,96,0,0.0,96,97,89
2017-09-28,93,0,0.0,94,94,74
2017-09-29,97,44,0.0,84,93,52
2017-09-30,83,0,0.0,57,86,35
2017-10-01,80,0,0.0,61,74,46
2017-10-02,91,35,0.0,90,88,72
2017-10-03,92,0,0.0,98,94,81
2017-10-04,94,35,0.0,95,95,76
2017-10-05,93,70,0.0,94,86,44
2017-10-06,84,18,0.0,86,85,65
2017-10-07,81,0,0.0,60,78,25
2017-10-08,86,39,0.0,66,75,36
2017-10-09,93,17,100.0,93,94,71
2017-10-10,100,100,99.0,98,93,64
2017-10-11,95,51,0.0,100,98,56
2017-10-12,92,0,0.0,99,97,67
2017-10-13,88,54,0.0,88,93,62
2017-10-14,85,20,0.0,63,76,32
2017-10-15,81,19,0.0,70,77,25
2017-10-16,91,34,0.0,97,98,99
2017-10-17,96,34,0.0,92,100,64
2017-10-18,93,17,0.0,95,91,100
2017-10-19,89,53,0.0,88,88,83
2017-10-20,88,18,0.0,75,84,65
2017-10-21,84,20,0.0,56,68,22
2017-10-22,80,0,0.0,65,71,24
2017-10-23,96,34,0.0,98,92,76
2017-10-24,93,34,0.0,100,91,64
2017-10-25,95,68,0.0,97,90,71
2017-10-26,94,17,0.0,94,91,62
2017-10-27,85,18,0.0,81,88,58
2017-10-28,84,0,0.0,60,76,25
2017-10-29,79,0,0.0,69,69,17
2017-10-30,92,51,0.0,95,85,49
2017-10-31,93,0,0.0,91,84,75
2017-11-01,94,85,0.0,86,84,86
2017-11-02,95,21,0.0,87,90,82
2017-11-03,91,65,0.0,82,87,67
2017-11-04,84,24,0.0,58,72,29
2017-11-05,86,0,0.0,65,74,18
2017-11-06,100,20,0.0,98,83,88
2017-11-07,94,61,0.0,97,92,60
2017-11-08,99,41,0.0,96,96,83
2017-11-09,97,41,0.0,94,92,90
2017-11-10,93,0,100.0,83,83,60
2017-11-11,85,24,0.0,57,75,40
2017-11-12,88,23,0.0,67,73,54
2017-11-13,93,20,0.0,93,84,100
2017-11-14,98,0,0.0,100,94,82
2017-11-15,98,0,0.0,97,92,75
2017-11-16,96,0,0.0,95,100,66
2017-11-17,91,0,0.0,81,90,59
2017-11-18,84,0,0.0,59,78,29
2017-11-19,78,47,0.0,65,78,29
2017-11-20,93,41,0.0,94,87,63
2017-11-21,95,41,94.0,85,90,75
2017-11-22,88,62,0.0,82,82,83
2017-11-23,79,63,0.0,69,68,75
2017-11-24,74,0,0.0,62,63,36
2017-11-25,79,0,0.0,57,70,33
2017-11-26,83,23,0.0,66,69,21
2017-11-27,94,40,0.0,87,85,58
2017-11-28,94,100,93.0,98,86,74
2017-11-29,92,21,0.0,90,90,86
2017-11-30,98,21,0.0,94,85,67
2017-12-01,90,30,0.0,84,94,73
2017-12-02,85,0,98.0,61,76,13
2017-12-03,86,100,0.0,68,73,38
2017-12-04,94,58,0.0,100,96,99
2017-12-05,100,0,0.0,98,95,69
2017-12-06,100,59,0.0,97,100,52
2017-12-07,96,89,0.0,95,91,67
2017-12-08,89,0,0.0,86,94,66
2017-12-09,81,0,99.0,61,80,35
2017-12-10,79,0,0.0,71,69,38
2017-12-11,91,29,0.0,99,89,55
2017-12-12,100,29,0.0,87,86,65
2017-12-13,94,29,0.0,92,90,100
2017-12-14,94,59,0.0,86,91,67
2017-12-15,86,0,0.0,71,89,62
2017-12-16,75,0,0.0,54,79,26
2017-12-17,83,0,0.0,55,75,34
2017-12-18,84,59,0.0,72,88,64
2017-12-19,92,30,88.0,76,88,76
2017-12-20,85,31,0.0,72,91,74
2017-12-21,85,0,0.0,69,82,76
2017-12-22,82,33,0.0,52,83,50
2017-12-23,76,0,0.0,38,76,18
2017-12-24,76,0,0.0,34,78,19
2017-12-25,68,0,0.0,37,78,24
2017-12-26,79,66,0.0,46,78,46
2017-12-27,89,32,0.0,56,82,48
2017-12-28,92,32,0.0,56,86,52
2017-12-29,91,33,0.0,52,77,70
2017-12-30,81,0,100.0,41,70,30
2017-12-31,78,0,0.0,39,75,19
2018-01-01,80,0,0.0,40,90,31
2018-01-02,90,0,0.0,65,94,52
2018-01-03,89,75,0.0,72,96,66
2018-01-04,93,75,0.0,72,91,57
2018-01-05,94,52,0.0,69,92,26
2018-01-06,83,0,0.0,49,82,28
2018-01-07,90,0,0.0,56,77,28
2018-01-08,90,24,0.0,83,94,58
2018-01-09,96,96,0.0,85,92,64
2018-01-10,95,24,0.0,87,97,62
2018-01-11,98,25,0.0,84,97,59
2018-01-12,89,25,0.0,75,89,60
2018-01-13,84,28,0.0,56,79,39
2018-01-14,83,0,0.0,57,77,35
2018-01-15,90,48,97.0,75,86,88
2018-01-16,90,47,0.0,89,92,60
2018-01-17,91,48,96.0,92,92,87
2018-01-18,98,24,0.0,92,97,83
2018-01-19,95,100,0.0,83,98,76
2018-01-20,83,27,0.0,56,88,31
2018-01-21,85,0,0.0,66,91,10
2018-01-22,97,0,0.0,91,96,81
2018-01-23,99,24,0.0,91,96,33
2018-01-24,100,48,0.0,93,94,57
2018-01-25,96,24,0.0,91,100,89
2018-01-26,93,0,100.0,77,95,72
2018-01-27,89,0,0.0,58,86,24
2018-01-28,87,0,0.0,66,83,31
2018-01-29,96,48,0.0,95,91,69
