Date,government,aircraft,Airbus,defence,BAE Systems,aerospace
2018-04-22,64,74,72,70,22,49
2018-04-23,93,88,88,77,49,76
2018-04-24,96,92,90,78,72,88
2018-04-25,92,83,89,87,65,68
2018-04-26,97,83,92,86,62,88
2018-04-27,80,71,97,73,49,100
2018-04-28,59,70,72,73,41,44
2018-04-29,64,90,61,78,27,48
2018-04-30,98,77,84,83,79,92
2018-05-01,90,83,73,88,39,66
2018-05-02,85,88,75,92,53,82
2018-05-03,86,100,92,97,66,100
2018-05-04,77,89,72,74,43,83
2018-05-05,51,84,65,82,53,29
2018-05-06,56,74,71,73,28,43
2018-05-07,87,79,83,79,37,65
2018-05-08,84,80,73,92,94,89
2018-05-09,94,80,78,85,33,90
2018-05-10,89,83,77,85,75,80
2018-05-11,78,83,78,76,64,68
2018-05-12,58,75,66,74,38,49
2018-05-13,56,81,62,63,19,49
2018-05-14,85,96,100,90,66,87
2018-05-15,96,92,91,100,86,77
2018-05-16,100,86,89,76,57,78
2018-05-17,90,77,85,83,100,84
2018-05-18,81,79,88,89,47,69
2018-05-19,62,59,59,66,10,54
2018-05-20,59,79,78,71,34,43
2018-05-21,84,81,86,90,54,67
2018-05-22,84,87,84,84,98,76
2018-05-23,85,79,79,85,54,85
2018-05-24,84,80,90,87,46,80
2018-05-25,73,76,83,87,61,68
2018-05-26,60,67,67,73,10,45
2018-05-27,57,73,68,69,19,38
2018-05-28,74,85,93,89,30,51
2018-05-29,80,82,89,89,74,81
2018-05-30,83,95,88,89,33,91
2018-05-31,88,85,96,91,80,94
2018-06-01,91,82,53,96,30,67
2018-06-02,71,76,58,92,17,54
2018-06-03,78,86,61,93,13,49
2018-06-04,100,83,63,81,31,98
2018-06-05,99,100,68,100,54,94
2018-06-06,98,80,68,98,40,71
2018-06-07,92,89,67,99,66,90
2018-06-08,91,81,64,80,66,88
2018-06-09,67,71,56,91,17,46
2018-06-10,68,84,61,78,27,48
2018-06-11,92,88,70,88,30,83
2018-06-12,92,92,63,92,71,84
2018-06-13,94,84,65,96,35,81
2018-06-14,94,91,58,85,31,98
2018-06-15,73,74,58,87,18,88
2018-06-16,59,65,44,79,10,53
2018-06-17,59,77,53,75,16,58
2018-06-18,83,83,60,94,59,84
2018-06-19,89,80,66,95,28,85
2018-06-20,93,85,60,90,60,84
2018-06-21,82,91,54,89,37,100
2018-06-22,77,79,100,78,27,73
2018-06-23,62,69,64,89,20,44
2018-06-24,64,82,60,70,29,53
2018-06-25,87,79,71,100,56,78
2018-06-26,84,90,73,89,50,87
2018-06-27,83,78,57,87,42,94
2018-06-28,86,89,63,84,97,85
2018-06-29,79,78,65,84,100,89
2018-06-30,65,76,53,65,33,50
2018-07-01,70,68,50,73,12,40
2018-07-02,86,78,57,89,97,72
2018-07-03,85,79,52,87,63,74
2018-07-04,82,89,60,85,25,63
2018-07-05,89,82,51,89,43,77
2018-07-06,81,85,56,76,42,58
2018-07-07,71,76,49,74,48,42
2018-07-08,69,74,53,68,16,35
2018-07-09,100,92,57,91,63,74
2018-07-10,92,92,85,83,50,83
2018-07-11,85,93,80,92,46,79
2018-07-12,90,92,64,88,54,94
2018-07-13,83,90,57,90,45,90
2018-07-14,63,88,50,78,54,54
2018-07-15,66,84,55,66,37,45
2018-07-16,93,100,76,89,100,70
2018-07-17,100,98,71,94,57,85
2018-07-18,90,90,68,89,68,100
2018-07-19,92,91,91,84,83,85
2018-07-20,85,81,100,87,67,69
2018-07-21,70,81,70,76,21,48
2018-07-22,70,79,70,78,38,46
2018-07-23,88,95,82,85,87,75
2018-07-24,90,96,67,100,60,86
2018-07-25,96,90,62,92,43,73
2018-07-26,94,92,64,70,61,83
2018-07-27,87,86,59,88,44,71
2018-07-28,68,76,50,77,33,33
2018-07-29,72,93,52,76,33,56
2018-07-30,96,91,58,84,63,70
2018-07-31,94,93,60,88,56,77
2018-08-01,82,88,92,100,83,85
2018-08-02,79,90,96,97,82,74
2018-08-03,71,90,92,87,51,85
2018-08-04,57,73,81,79,46,49
2018-08-05,62,92,83,73,20,45
2018-08-06,78,85,76,95,53,79
2018-08-07,86,94,93,89,82,75
2018-08-08,77,86,95,86,57,78
2018-08-09,76,86,100,99,69,84
2018-08-10,74,78,80,93,55,86
2018-08-11,62,88,73,80,40,42
2018-08-12,62,89,75,83,70,44
2018-08-13,84,97,75,85,85,70
2018-08-14,84,100,72,90,96,94
2018-08-15,83,92,82,99,100,91
2018-08-16,98,77,71,91,63,81
2018-08-17,83,89,83,100,54,73
2018-08-18,62,80,65,74,41,48
2018-08-19,66,86,70,75,31,45
2018-08-20,91,82,79,89,41,79
2018-08-21,92,98,81,89,50,100
2018-08-22,92,97,75,78,83,97
2018-08-23,92,90,81,86,68,92
2018-08-24,85,82,81,82,84,73
2018-08-25,61,79,67,77,15,43
2018-08-26,61,81,70,87,36,50
2018-08-27,92,99,87,89,40,94
2018-08-28,97,97,82,88,97,86
2018-08-29,98,81,89,87,73,93
2018-08-30,100,84,86,100,40,83
2018-08-31,89,76,79,96,23,76
2018-09-01,54,72,53,48,37,58
2018-09-02,58,76,83,51,29,42
2018-09-03,68,82,100,63,77,54
2018-09-04,86,94,80,65,50,89
2018-09-05,93,83,95,83,64,94
2018-09-06,97,86,90,100,67,94
2018-09-07,87,84,81,58,42,90
2018-09-08,58,77,68,43,25,33
2018-09-09,64,82,77,46,45,46
2018-09-10,93,79,79,60,63,87
2018-09-11,90,90,82,53,74,90
2018-09-12,93,87,89,53,67,77
2018-09-13,96,100,74,51,100,71
2018-09-14,89,79,78,49,56,75
2018-09-15,60,76,70,48,29,54
2018-09-16,66,69,74,53,44,49
2018-09-17,94,88,72,56,72,82
2018-09-18,97,96,82,57,52,100
2018-09-19,95,93,81,54,50,79
2018-09-20,93,94,88,49,70,85
2018-09-21,82,87,88,50,37,76
2018-09-22,54,75,67,52,45,47
2018-09-23,67,72,78,50,28,35
2018-09-24,94,84,87,61,54,90
2018-09-25,100,79,77,59,53,92
2018-09-26,97,87,82,60,64,85
2018-09-27,100,92,74,50,47,99
2018-09-28,83,81,77,55,48,73
2018-09-29,56,86,74,45,29,55
2018-09-30,62,79,70,50,33,33
2018-10-01,96,89,85,90,53,73
2018-10-02,97,80,86,87,68,95
2018-10-03,97,97,77,98,65,97
2018-10-04,98,94,83,93,82,82
2018-10-05,93,92,67,89,41,79
2018-10-06,60,78,56,72,31,46
2018-10-07,59,74,64,80,38,44
2018-10-08,92,84,94,95,54,100
2018-10-09,100,90,77,92,77,94
2018-10-10,92,87,82,98,81,81
2018-10-11,99,100,93,98,67,95
2018-10-12,81,86,100,93,70,76
2018-10-13,56,82,78,83,0,43
2018-10-14,64,78,71,84,27,44
2018-10-15,88,97,89,100,62,87
2018-10-16,98,92,87,85,100,83
2018-10-17,97,85,77,91,89,84
2018-10-18,90,78,82,93,75,87
2018-10-19,79,84,85,86,95,79
2018-10-20,57,74,63,73,31,41
2018-10-21,63,76,68,74,17,49
2018-10-22,93,80,74,89,54,84
2018-10-23,100,82,83,88,61,88
2018-10-24,96,79,71,86,58,94
2018-10-25,95,85,71,93,81,76
2018-10-26,81,80,72,98,24,81
2018-10-27,56,67,69,78,13,45
2018-10-28,59,72,72,82,47,48
2018-10-29,96,92,90,100,100,93
2018-10-30,96,92,93,91,45,85
2018-10-31,88,85,84,96,40,71
2018-11-01,91,97,100,84,57,61
2018-11-02,81,89,92,76,35,56
2018-11-03,53,88,81,82,54,34
2018-11-04,57,77,82,83,28,37
2018-11-05,94,100,90,79,68,73
2018-11-06,89,95,93,88,80,81
2018-11-07,100,95,89,86,76,64
2018-11-08,82,96,85,90,66,70
2018-11-09,73,91,77,93,100,76
2018-11-10,53,79,67,75,34,39
2018-11-11,58,80,70,74,33,45
2018-11-12,79,95,84,98,84,71
2018-11-13,91,97,88,92,99,77
2018-11-14,92,92,86,100,89,69
2018-11-15,92,92,83,91,55,78
2018-11-16,78,94,83,87,61,65
2018-11-17,56,78,75,80,34,42
2018-11-18,59,92,82,86,48,47
2018-11-19,82,81,82,75,51,65
2018-11-20,80,93,85,95,59,60
2018-11-21,72,86,79,88,38,57
2018-11-22,59,82,80,86,38,41
2018-11-23,55,79,87,81,56,51
2018-11-24,48,75,69,72,19,41
2018-11-25,54,91,74,77,14,42
2018-11-26,84,96,94,87,32,73
2018-11-27,87,92,94,91,70,84
2018-11-28,91,95,87,95,87,100
2018-11-29,90,94,94,89,38,88
2018-11-30,81,99,85,85,81,71
2018-12-01,24,82,74,76,18,47
2018-12-02,25,75,58,89,43,52
2018-12-03,43,100,86,98,61,75
2018-12-04,41,87,85,87,54,92
2018-12-05,39,99,73,92,64,99
2018-12-06,38,98,77,88,75,93
2018-12-07,35,91,77,91,40,82
2018-12-08,22,80,62,64,27,57
2018-12-09,23,79,69,75,39,49
2018-12-10,38,91,78,86,62,82
2018-12-11,44,94,81,91,54,88
2018-12-12,44,90,90,93,47,100
2018-12-13,40,87,76,82,100,79
2018-12-14,38,99,85,82,20,86
2018-12-15,24,89,60,76,9,44
2018-12-16,24,81,76,77,32,51
2018-12-17,39,86,68,90,80,82
2018-12-18,43,86,81,85,56,78
2018-12-19,41,83,85,100,45,67
2018-12-20,43,93,100,87,50,79
2018-12-21,64,87,83,87,34,62
2018-12-22,100,78,73,74,19,57
2018-12-23,56,82,76,75,28,46
2018-12-24,46,83,76,65,9,46
2018-12-25,32,69,77,62,40,57
2018-12-26,48,90,73,73,47,51
2018-12-27,47,75,77,84,25,59
2018-12-28,46,77,87,76,55,48
2018-12-29,37,73,69,68,18,64
2018-12-30,35,82,67,76,28,43
2018-12-31,39,75,62,68,55,56
2019-01-01,30,60,52,82,17,46
2019-01-02,46,79,64,83,40,74
