Date,homes,site,property,building,Barratt Developments,developments
2017-11-23,64,100,72,70,0,50
2017-11-24,67,98,63,66,0,43
2017-11-25,78,85,59,62,0,43
2017-11-26,87,83,67,65,28,38
2017-11-27,87,88,87,84,0,66
2017-11-28,81,95,92,90,0,76
2017-11-29,79,88,95,89,0,75
2017-11-30,81,89,92,87,25,57
2017-12-01,80,87,74,87,0,82
2017-12-02,78,77,58,71,0,49
2017-12-03,91,82,63,71,0,43
2017-12-04,87,96,82,99,0,87
2017-12-05,83,100,83,99,0,87
2017-12-06,83,94,81,100,50,82
2017-12-07,83,99,81,97,50,94
2017-12-08,80,84,73,84,52,75
2017-12-09,84,79,53,71,0,55
2017-12-10,81,81,59,69,0,65
2017-12-11,82,91,81,96,0,98
2017-12-12,79,92,78,95,49,68
2017-12-13,79,85,75,90,49,89
2017-12-14,79,92,75,89,100,100
2017-12-15,75,85,71,82,0,76
2017-12-16,78,76,53,65,0,40
2017-12-17,80,78,57,63,57,32
2017-12-18,78,88,74,85,0,71
2017-12-19,78,89,77,87,51,76
2017-12-20,80,85,80,88,52,58
2017-12-21,74,85,78,80,0,64
2017-12-22,72,76,67,73,0,50
2017-12-23,69,72,54,61,0,40
2017-12-24,68,64,48,50,0,34
2017-12-25,61,66,44,55,63,33
2017-12-26,86,77,65,68,0,28
2017-12-27,100,85,92,73,0,35
2017-12-28,97,82,100,76,54,57
2017-12-29,93,80,84,71,55,45
2017-12-30,94,74,65,63,0,46
2017-12-31,96,65,60,56,62,29
2018-01-01,86,73,67,57,0,58
2018-01-02,87,92,86,81,0,67
2018-01-03,87,97,89,81,51,55
2018-01-04,86,94,86,87,51,79
2018-01-05,85,97,85,80,0,63
2018-01-06,91,88,64,71,0,59
2018-01-07,96,88,74,64,0,40
2018-01-08,88,96,88,88,0,74
2018-01-09,82,98,89,92,0,92
2018-01-10,84,99,94,92,0,89
2018-01-11,81,96,87,89,100,81
2018-01-12,82,93,82,83,0,69
2018-01-13,87,87,68,67,57,40
2018-01-14,92,85,66,63,0,58
2018-01-15,89,94,84,91,50,82
2018-01-16,85,98,90,100,0,89
2018-01-17,81,92,89,90,98,96
2018-01-18,82,95,89,99,0,66
2018-01-19,81,92,84,81,0,78
2018-01-20,86,84,66,65,56,44
2018-01-21,92,88,70,65,0,50
2018-01-22,87,97,92,97,0,91
2018-01-23,81,97,93,90,0,80
2018-01-24,85,94,92,94,0,90
2018-01-25,80,98,89,90,50,70
2018-01-26,81,93,80,86,0,61
2018-01-27,89,86,70,68,0,51
2018-01-28,100,86,73,69,0,82
2018-01-29,90,100,97,93,49,73
2018-01-30,87,98,100,95,49,100
2018-01-31,81,97,94,92,0,86
2018-02-01,84,99,98,97,32,92
2018-02-02,83,94,93,89,33,77
2018-02-03,94,87,72,71,37,59
2018-02-04,92,88,73,70,36,58
2018-02-05,87,97,96,95,32,85
2018-02-06,87,98,97,99,32,87
2018-02-07,91,100,94,99,32,76
2018-02-08,83,96,94,100,64,73
2018-02-09,84,93,88,91,100,80
2018-02-10,95,85,72,67,0,44
2018-02-11,98,83,76,73,0,70
2018-02-12,92,88,97,99,32,80
2018-02-13,88,90,100,100,65,100
2018-02-14,78,95,86,94,33,74
2018-02-15,83,94,93,95,0,72
2018-02-16,85,91,86,86,0,74
2018-02-17,89,88,73,67,0,55
2018-02-18,100,88,77,73,0,60
2018-02-19,96,97,95,92,64,90
2018-02-20,89,99,100,99,64,97
2018-02-21,90,95,95,94,95,92
2018-02-22,89,97,98,100,32,73
2018-02-23,86,97,88,87,0,63
2018-02-24,94,87,73,68,0,46
2018-02-25,98,84,72,68,0,70
