Date,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
2017-11-11,96,91,97,68,100,100
2017-11-12,85,82,100,22,91,82
2017-11-13,46,38,90,19,78,59
2017-11-14,46,39,92,29,75,58
2017-11-15,52,39,92,58,79,60
2017-11-16,52,40,91,78,79,59
2017-11-17,67,67,94,51,82,72
2017-11-18,95,100,96,68,95,90
2017-11-19,82,69,98,33,89,75
2017-11-20,47,37,93,10,75,61
2017-11-21,48,39,91,48,75,60
2017-11-22,44,35,93,39,79,61
2017-11-23,47,43,89,31,69,69
2017-11-24,69,73,78,41,76,67
2017-11-25,99,96,89,45,90,83
2017-11-26,80,74,92,55,86,72
2017-11-27,41,33,86,0,75,54
2017-11-28,52,41,87,29,76,55
2017-11-29,46,46,87,49,81,56
2017-11-30,51,50,88,49,81,57
2017-12-01,65,84,82,20,89,50
2017-12-02,100,96,86,82,92,62
2017-12-03,75,91,89,37,93,56
2017-12-04,48,42,80,6,81,43
2017-12-05,50,49,83,45,82,43
2017-12-06,43,53,84,39,83,43
2017-12-07,48,47,81,7,79,44
2017-12-08,67,86,82,48,89,49
2017-12-09,94,100,89,53,100,64
2017-12-10,73,88,88,15,94,54
2017-12-11,49,48,80,6,82,43
2017-12-12,42,45,82,26,79,43
2017-12-13,45,48,80,26,79,42
2017-12-14,51,52,81,7,84,44
2017-12-15,75,79,82,34,89,49
2017-12-16,97,99,85,68,94,64
2017-12-17,80,79,92,45,95,59
2017-12-18,45,45,82,20,87,46
2017-12-19,45,45,84,20,91,48
2017-12-20,54,49,83,48,90,48
2017-12-21,59,60,82,28,92,50
2017-12-22,81,81,80,30,95,53
2017-12-23,84,90,88,32,91,60
2017-12-24,71,76,87,42,79,61
2017-12-25,55,57,100,25,71,100
2017-12-26,80,74,82,7,75,71
2017-12-27,74,80,82,28,81,63
2017-12-28,63,61,83,35,86,67
2017-12-29,78,74,87,36,90,67
2017-12-30,95,86,92,100,91,75
2017-12-31,100,81,95,65,88,72
2018-01-01,100,100,100,25,100,100
2018-01-02,49,40,84,20,87,67
2018-01-03,48,36,83,40,80,62
2018-01-04,45,32,83,49,83,63
2018-01-05,55,41,85,61,86,72
2018-01-06,83,63,92,33,91,92
2018-01-07,55,52,93,100,94,79
2018-01-08,34,29,82,39,75,55
2018-01-09,40,27,81,10,77,58
2018-01-10,38,28,84,20,75,60
2018-01-11,37,30,81,49,77,61
2018-01-12,60,50,82,80,84,71
2018-01-13,85,64,92,77,89,97
2018-01-14,56,52,91,76,87,80
2018-01-15,32,29,83,39,77,66
2018-01-16,33,29,81,48,80,57
2018-01-17,32,29,79,0,75,56
2018-01-18,34,33,86,68,74,61
2018-01-19,59,49,86,60,80,73
2018-01-20,73,66,89,77,87,99
2018-01-21,49,54,89,33,87,80
2018-01-22,29,29,83,19,74,57
2018-01-23,35,29,80,57,72,58
2018-01-24,37,31,80,57,74,59
2018-01-25,37,32,84,58,75,62
2018-01-26,63,48,83,60,84,78
2018-01-27,88,69,89,66,87,99
2018-01-28,66,60,93,100,91,84
2018-01-29,33,33,84,76,75,59
2018-01-30,38,29,83,29,79,57
2018-01-31,38,31,82,29,73,56
2018-02-01,24,49,89,70,58,59
2018-02-02,36,75,91,41,61,67
2018-02-03,52,100,100,68,72,88
2018-02-04,41,93,96,100,68,66
2018-02-05,23,38,83,59,57,50
2018-02-06,23,47,85,39,58,54
2018-02-07,23,40,88,49,63,56
2018-02-08,28,43,88,89,59,58
2018-02-09,36,65,90,62,71,69
2018-02-10,56,91,94,91,73,93
2018-02-11,39,89,95,45,74,82
2018-02-12,23,39,90,60,70,63
2018-02-13,26,46,90,40,85,69
2018-02-14,42,75,88,50,100,81
2018-02-15,25,53,91,50,62,68
2018-02-16,36,69,91,82,59,73
2018-02-17,59,93,96,45,66,100
2018-02-18,43,85,98,34,69,90
2018-02-19,23,41,92,49,60,64
2018-02-20,21,46,88,69,58,56
2018-02-21,23,44,84,29,55,55
2018-02-22,24,49,91,39,57,58
2018-02-23,42,77,90,31,63,70
2018-02-24,100,96,98,68,69,91
2018-02-25,51,75,99,11,67,80
2018-02-26,28,43,88,39,58,53
2018-02-27,28,47,86,67,54,54
2018-02-28,26,60,82,19,58,53
2018-03-01,21,64,83,33,79,55
2018-03-02,34,99,90,44,92,64
2018-03-03,93,100,100,67,100,93
2018-03-04,34,78,96,56,96,80
2018-03-05,18,41,87,33,78,55
2018-03-06,17,43,86,57,80,54
2018-03-07,20,46,86,33,81,57
2018-03-08,21,53,89,43,85,60
2018-03-09,29,68,90,35,88,71
2018-03-10,68,80,100,78,95,100
2018-03-11,41,78,99,57,90,84
2018-03-12,20,41,89,58,79,57
2018-03-13,20,47,87,100,78,58
2018-03-14,20,43,88,41,78,56
2018-03-15,22,46,89,59,76,60
2018-03-16,31,64,88,70,83,72
2018-03-17,64,99,97,38,90,90
2018-03-18,35,85,98,47,86,75
2018-03-19,30,47,89,34,76,55
2018-03-20,25,44,84,33,77,54
2018-03-21,30,40,86,59,79,59
2018-03-22,25,45,88,34,77,58
2018-03-23,35,72,90,27,80,75
2018-03-24,76,89,96,69,94,96
2018-03-25,47,82,100,89,88,85
2018-03-26,21,45,91,17,77,61
