,Date,Open,High,Low,Close,Volume,spill,BP,gas,British Petroleum,oil,petroleum
168,2017-09-01,353.8295950802099,354.7395847487594,350.38743714839137,351.93048095703125,18437664,62,91,100,46,95,68
169,2017-09-04,350.6248980404053,354.6367932708987,350.1327022912635,353.2757568359375,14753950,63,87,67,0,95,60
170,2017-09-05,353.710921480535,355.9661301720331,352.375989781234,353.4735412597656,29220039,64,96,69,57,94,65
171,2017-09-06,352.1282873596635,354.62087602474764,349.0026445877272,353.5130615234375,29796815,67,89,76,43,95,73
172,2017-09-07,354.7395617025717,357.572427479774,353.87547847659056,356.0056457519531,23675792,65,88,75,45,97,72
173,2017-09-08,356.00570831258483,356.7574526407868,352.3657250866658,352.998779296875,15832104,61,91,66,15,90,56
174,2017-09-11,354.8186698349056,356.79691846706777,352.6425963395272,355.3725891113281,18167492,61,100,66,43,93,81
175,2017-09-12,356.1243145060656,356.20344928226143,353.0778308851444,355.2143249511719,20484518,82,91,66,71,92,81
176,2017-09-13,353.9483193016505,359.5269962526074,353.39442404279674,357.94439697265625,38628263,66,89,62,43,97,88
177,2017-09-14,358.4587335739157,362.1382720358588,356.2035247912576,357.4300537109375,34447499,72,94,62,0,97,87
178,2017-09-15,356.4012706927224,357.1530148364787,352.20739322898487,354.6999816894531,53873753,78,86,60,15,94,76
179,2017-09-18,356.48039326788165,359.7642810731604,355.64953852567527,356.7177734375,24849577,92,92,60,14,96,70
180,2017-09-19,356.8364948119564,361.94036174922815,356.5990904890449,360.9116821289063,26666830,66,96,57,100,92,74
181,2017-09-20,361.0304214886799,363.5230102539063,359.2895528105764,363.5230102539063,22835838,59,94,56,29,95,79
182,2017-09-21,364.90777524989073,366.9256035505825,363.9977856155609,366.767333984375,39778073,76,90,57,58,93,66
183,2017-09-22,366.6486136408646,370.8424911654316,364.9077451503594,369.2203369140625,26839673,60,86,56,30,93,66
184,2017-09-25,367.2421293402668,374.95730002326167,366.6090752053549,373.8099060058594,32226345,67,90,61,43,94,64
185,2017-09-26,374.9572713982205,376.73530456019,372.0001855649781,373.1372680664063,31447121,66,93,56,56,96,100
186,2017-09-27,373.4933639345633,375.03640761871065,370.88208524443854,374.32421875,37164081,77,93,57,14,97,78
187,2017-09-28,374.2452019243341,377.3312659176141,372.7021578534189,376.6982116699219,25615983,100,97,56,73,96,74
188,2017-09-29,377.7268658457626,380.2985895250381,376.0216161874464,377.6872863769531,26810406,66,92,55,46,95,54
189,2017-10-02,379.86334682276936,381.1294309574917,377.5290275932794,379.8237915039063,40405793,59,100,82,69,94,83
190,2017-10-03,380.41731478875954,385.1255574653257,380.41731478875954,384.8881530761719,30604574,60,95,84,86,88,95
191,2017-10-04,384.2946445074545,385.4420385826849,382.2768401942392,384.373779296875,32018508,71,93,83,69,94,84
192,2017-10-05,383.7802408884896,388.056416632996,383.6615507983359,388.0532531738281,23165525,85,87,83,52,91,100
193,2017-10-06,387.73679724781016,388.488541514138,385.04638348437146,386.27288818359375,22257525,73,90,77,71,91,69
194,2017-10-09,385.4420140875239,386.4034401390892,382.1881907373617,384.8089599609375,25059314,89,95,85,17,93,93
195,2017-10-10,385.44199615660034,389.0360723490479,384.3341816722924,387.69720458984375,26032161,78,96,81,67,95,85
196,2017-10-11,387.7763326003615,389.1611068049418,385.9959086230438,386.6685180664063,28770872,83,92,82,68,92,93
197,2017-10-12,387.5785221734356,389.16112132342687,386.2894969044631,388.8841857910156,19318392,64,98,100,71,95,89
198,2017-10-13,388.2510608916511,393.2109299740405,387.7264338123634,388.3697509765625,19288484,75,95,79,18,92,73
199,2017-10-16,389.1611167825759,391.13936569698205,388.6467768945394,388.9237365722656,22812727,96,91,85,52,100,90
