,Date,Open,High,Low,Close,Volume,homes,site,property,building,Barratt Developments,developments
114,2017-06-16,487.5072096777087,490.46179882727057,482.4421997070312,482.4421997070313,10866545,83,91,82,84,0,71
115,2017-06-19,484.9746919879731,488.3513652133027,483.7084395284744,484.1305236816406,4645659,90,94,93,90,85,100
116,2017-06-20,485.8188768318062,487.92929766947697,478.64344598372566,479.9096984863281,2767793,89,94,96,90,0,84
117,2017-06-21,480.3317295788876,484.1304866669456,475.8880473271032,477.7992248535156,313802,87,92,96,84,83,89
118,2017-06-22,479.487614318794,482.442203491533,474.00052014085,479.9096984863281,638855,90,93,94,81,0,100
119,2017-06-23,479.9097592244106,481.5457477722284,476.8597988411883,476.9551696777344,591115,84,86,90,77,0,71
120,2017-06-26,479.9096867068095,480.27942253589646,476.0096332164376,479.7948913574219,1331890,93,96,100,86,44,80
121,2017-06-27,476.9551360962559,477.3772202874915,469.7797048452503,472.3316345214844,2222164,86,100,96,82,0,85
122,2017-06-28,476.1109372436844,488.6721660928802,475.0135287214934,482.4421997070313,2397435,86,95,98,87,45,66
123,2017-06-29,483.28635756485,482.8642734097716,474.2959444521007,475.6888427734375,177330,81,96,93,79,0,70
124,2017-06-30,476.9550952386729,482.3408931793898,474.0005061531237,475.6888427734375,255622,79,91,89,74,45,67
125,2017-07-03,478.2213912515479,480.3318122191188,471.1726058294411,474.0005493164063,4412359,84,97,90,85,0,84
126,2017-07-04,473.15636436684616,480.45844126861647,471.890111830628,478.2213745117188,1778350,84,92,82,73,0,79
127,2017-07-05,487.9293565258537,491.72811449188544,484.8734709062066,491.3060302734375,5462184,87,98,96,89,0,92
128,2017-07-06,491.3060568732184,499.7477416992188,491.3060568732184,499.7477416992188,5548290,92,89,98,91,68,74
129,2017-07-07,502.7022476002157,504.128894158981,496.79306920693017,497.6372375488281,5209113,91,89,91,84,35,78
130,2017-07-10,501.013959405791,504.3906331001856,494.68269622880126,499.32562255859375,2908424,92,100,97,95,0,100
131,2017-07-11,499.32562255859375,499.32562255859375,499.32562255859375,499.32562255859375,0,88,94,93,95,0,94
132,2017-07-12,502.2801634292667,504.39058428401154,491.30597498459366,497.6372375488281,5911108,85,98,90,94,100,78
133,2017-07-13,503.1243078277867,507.5561914118402,495.9488772631287,506.9230651855469,5429609,84,96,94,88,33,78
134,2017-07-14,508.6113893425841,509.03347348311735,492.9942761428533,494.2605285644531,3777576,82,94,86,83,34,90
135,2017-07-17,494.26052856445307,498.0592858292525,493.41636028338655,494.2605285644531,2816895,87,94,89,92,0,84
136,2017-07-18,493.83855816496526,502.70232715766974,491.7281369762261,502.2802429199219,3317823,91,100,98,96,33,83
137,2017-07-19,503.5463811609959,516.2089054148348,503.5463811609959,514.5205688476562,4538128,91,99,95,93,68,91
138,2017-07-20,516.6309985411548,517.8972509885596,511.5659887515356,515.36474609375,3078211,85,96,93,92,33,94
139,2017-07-21,515.7868480947067,517.0531005859375,511.1439222935268,517.0531005859375,4465175,83,92,93,80,0,78
140,2017-07-24,516.6310588138205,517.475227210575,505.9607579130941,509.4556274414063,3930040,89,96,95,90,33,92
141,2017-07-25,509.0335432430289,512.8323010284247,502.70228026736936,509.4556274414063,2602953,89,94,95,100,66,70
142,2017-07-26,512.8321905368712,520.4297044707508,512.8321905368712,519.1634521484375,4460582,86,97,100,95,33,82
143,2017-07-27,520.0076545266544,524.2284958783318,516.2088973101448,516.6309814453125,4246617,86,98,95,96,0,66
144,2017-07-28,514.0986068252638,518.3194492458325,510.7219328888089,517.4752807617188,4259844,83,91,91,83,68,83
145,2017-07-31,517.4752721840729,520.4298618294958,516.1591958149141,519.585693359375,3904337,88,97,98,93,0,87
146,2017-08-01,521.2739613318961,525.0727189448411,516.2089511813027,524.650634765625,3494075,88,98,99,91,47,81
147,2017-08-02,524.2285499943113,525.9168867092687,518.7414556706993,521.696044921875,2487580,93,100,100,90,23,86
148,2017-08-03,522.5402132793538,524.2268497040404,519.1635398494387,521.696044921875,4284193,87,97,98,86,24,77
149,2017-08-04,519.1635256186,520.0076939529392,492.5722230869157,497.2151489257813,10944393,87,91,90,82,100,56
150,2017-08-07,506.9231390957047,509.4556443701212,493.4164442988167,505.23480224609375,6122577,96,98,100,88,23,74
151,2017-08-08,506.5009810346846,507.7672334872713,501.4359712243378,506.9230651855469,4722791,92,95,98,94,0,74
152,2017-08-09,507.76723061676273,514.5205769923805,503.9684732804777,512.41015625,8043010,94,95,96,88,71,82
153,2017-08-10,509.8776785063481,511.5660151901439,495.52681669408327,497.6372375488281,4410209,88,98,96,87,24,53
154,2017-08-11,495.1048151972312,505.234836991548,488.7735515757832,502.7023315429688,3101530,82,91,89,81,0,71
155,2017-08-14,503.5464272826441,511.1439425308316,503.4409062375304,510.2997741699219,3301221,88,92,96,89,24,74
156,2017-08-15,513.2543065599174,514.9426430946539,505.6567921536028,510.7218017578125,2455107,88,95,97,95,0,69
157,2017-08-16,512.8323107241415,517.475236994072,510.2998054859976,516.208984375,2545881,86,97,96,90,24,100
158,2017-08-17,517.475236994072,524.6506685021463,513.6764791368561,516.208984375,3172826,84,98,92,92,73,66
159,2017-08-18,511.5660146244237,516.2089404997279,511.1439304539415,514.9426879882812,2456521,81,92,92,82,25,68
160,2017-08-21,512.4101829653881,518.3193613521388,511.89607702629246,514.9426879882812,2931726,81,96,95,96,71,72
161,2017-08-22,518.7414988232898,523.3844251756544,518.7414988232898,520.0077514648438,3121224,86,97,97,98,24,73
162,2017-08-23,520.0076353823166,520.0076353823166,509.0334482719755,511.988037109375,3500815,82,97,97,89,0,75
163,2017-08-24,512.832276582524,521.2739601476684,511.56602404775225,518.741455078125,3341623,80,98,95,88,0,87
164,2017-08-25,519.1636177299463,520.4298704561169,515.3648595514345,517.4752807617188,1977733,79,91,86,81,50,65
165,2017-08-29,523.8064555684074,523.8064555684074,513.2543513063524,514.9426879882812,3851679,81,95,97,100,24,93
166,2017-08-30,517.4752294568048,526.0266594749645,516.6310610563859,524.2285766601562,5624811,81,99,97,93,24,69
167,2017-08-31,526.7610213170536,531.4039469857136,524.2285164068755,527.18310546875,4695336,78,93,96,97,0,56
168,2017-09-01,529.715576171875,530.1376602963147,525.9168190519174,529.715576171875,2853592,84,92,89,80,36,63
169,2017-09-04,529.293524639423,530.2676878513595,520.9354134682219,521.27392578125,1946304,97,94,79,78,35,74
170,2017-09-05,520.851868947347,532.4887069144752,520.851868947347,526.7610473632812,4468119,91,93,96,98,99,92
171,2017-09-06,514.9427745444349,517.7394948355497,500.5235380471992,502.7023315429688,11609439,85,92,96,97,66,95
172,2017-09-07,505.6568531296541,517.0531261133775,503.12434802216,513.6764526367188,7100009,89,90,100,95,34,89
173,2017-09-08,512.8322606413113,513.6764289715851,503.8587471685856,505.6568298339844,3377252,79,89,87,90,34,74
174,2017-09-11,508.6114810402244,511.5660705566406,505.2348073071773,511.5660705566406,2695359,83,96,93,98,0,76
175,2017-09-12,506.5010019596791,506.5010019596791,494.2605610789869,503.1243286132813,6339436,82,95,94,97,32,100
176,2017-09-13,501.43608343779147,510.2998525894696,495.94898824865743,509.0335998535156,6524647,86,100,94,93,0,79
177,2017-09-14,509.8777404523203,510.299824674549,491.5314519682316,491.7281188964844,8948633,85,97,94,95,33,77
178,2017-09-15,491.7280362872048,495.94887780039966,487.4143486264662,492.57220458984375,6507109,82,91,86,89,0,70
179,2017-09-18,492.9943276173892,494.68266435580495,486.4967455431665,490.4618225097656,5340767,89,96,98,97,0,74
180,2017-09-19,490.4618110268803,499.7476628707627,490.4618110268803,498.059326171875,6850897,84,93,96,100,33,84
181,2017-09-20,498.9035094505133,509.4556141343228,497.21517270110377,508.1893615722656,7538309,83,93,97,99,0,89
182,2017-09-21,507.3451780157574,507.9361061651575,497.637241997153,498.059326171875,4107536,83,95,96,93,0,79
183,2017-09-22,496.3709305806376,504.4302023834295,493.8384258327772,503.9684448242188,4825597,87,96,87,89,0,76
184,2017-09-25,502.7022176038153,504.8126383326306,499.32554443771073,500.591796875,4716139,92,97,96,95,0,94
185,2017-09-26,501.4360744444263,504.3906641086611,498.9035690179392,502.2802429199219,5881584,85,94,95,97,0,80
186,2017-09-27,506.9231090102085,508.3928296454901,501.0139303872752,508.1893615722656,4897132,85,98,100,92,0,84
187,2017-09-28,510.2997355076194,512.8322403984761,502.6110749782801,512.41015625,6533314,79,96,93,92,100,88
188,2017-09-29,513.6764449390383,519.5856234346395,512.832276582524,518.741455078125,5796007,84,96,88,83,35,64
189,2017-10-02,527.6051505667265,542.3780947825948,527.6051505667265,540.6897583007812,9180430,89,92,92,87,0,88
190,2017-10-03,541.5339965820312,543.8554595447757,535.2027339563645,541.5339965820312,5616060,90,96,94,95,29,72
191,2017-10-04,541.1118424212347,541.7027704946574,535.2026647348873,540.6897583007812,5338603,87,96,100,94,0,86
192,2017-10-05,540.2677880897138,545.7548828125,537.0177602865672,545.7548828125,4752604,86,98,94,92,29,72
193,2017-10-06,552.9302457483803,557.2608333217298,545.7548150783631,553.7744140625,7766569,87,92,84,83,30,82
194,2017-10-09,555.462803032562,555.8848872293953,549.5536242768965,552.9302978515625,4816829,94,95,91,93,29,83
195,2017-10-10,552.5082922317562,563.4824829101562,550.3978709474485,563.4824829101562,7141454,88,92,97,94,0,79
196,2017-10-11,563.0603552455774,567.7032817131196,560.5278498996453,565.1707763671875,10357009,91,94,95,95,29,82
197,2017-10-12,563.9044804803844,568.9694907841005,559.6836385606211,566.8590698242188,5780873,90,88,95,94,60,100
198,2017-10-13,568.1253151242428,575.7228304825165,563.9044732585352,574.878662109375,5796033,85,88,81,81,0,79
199,2017-10-16,575.7228913817459,577.8333125378373,566.3061674517679,571.9241333007812,5139056,99,100,96,99,0,81
200,2017-10-17,574.0345109570457,577.4111845509107,566.8590795700826,573.6124267578125,5555952,89,95,92,98,0,78
201,2017-10-18,575.7227541541085,584.5865208969503,573.1902493704395,582.0540161132812,4458885,87,93,88,100,29,99
202,2017-10-19,583.3203214083103,584.1644897460938,576.8581880510843,584.1644897460938,4983838,85,98,94,90,30,92
203,2017-10-20,586.697021484375,589.2295266130845,583.7416077843673,586.697021484375,6423330,83,92,80,85,0,68
204,2017-10-23,586.6970303414881,587.963282924959,581.6320200076049,587.5411987304688,4485109,92,94,90,92,28,92
205,2017-10-24,587.5411732700893,592.6061833844866,585.8528365652902,590.9178466796875,4819755,87,97,98,97,0,93
206,2017-10-25,590.9178638936113,595.560789967061,585.0086852546751,589.651611328125,6111019,83,96,92,94,0,70
207,2017-10-26,578.225518424771,580.3895360835464,571.0427338353877,579.0911254882812,6223173,86,94,91,92,29,80
208,2017-10-27,579.9568151864765,580.8224223733221,564.4884189841453,568.2711181640625,6945714,80,89,84,84,0,61
209,2017-10-30,564.3758479493683,566.5398657712601,554.8541695330447,565.241455078125,5267415,87,91,90,93,0,79
210,2017-10-31,563.5102310588653,567.8382666276738,563.5102310588653,566.5398559570312,3437079,78,92,87,90,0,78
211,2017-11-01,568.7038444553775,573.464683335902,566.5398267824119,570.43505859375,7766390,83,87,99,94,27,72
212,2017-11-02,568.2711181640625,571.3968455807702,561.7790642627214,568.2711181640625,5002138,90,85,100,93,26,100
213,2017-11-03,569.1366772983163,571.4011295995211,565.2414452863886,566.5398559570312,3142406,87,85,91,91,0,69
214,2017-11-06,563.943015210982,570.8678718827977,562.2118010430281,569.1366577148438,2405317,89,86,96,100,25,78
215,2017-11-07,571.3005912587539,571.3005912587539,560.4805043030957,563.9429321289062,3194295,87,83,94,96,25,75
216,2017-11-08,560.0478079247662,561.7790221687377,549.5609860951037,549.6605224609375,6347873,85,90,98,97,0,60
217,2017-11-09,544.4668460422092,547.195220079553,529.7515258789062,529.7515258789062,10388566,86,89,96,98,0,78
218,2017-11-10,542.7357029084237,543.6013100900958,529.7515951833418,536.6764526367188,4635609,83,85,81,86,0,51
219,2017-11-13,537.9748152945805,562.9908817405405,531.4827620126669,534.9451904296875,3627072,87,88,94,96,25,72
220,2017-11-14,536.6764542863176,547.4965440904772,536.2436506941511,544.4669189453125,3868656,85,86,96,94,25,69
221,2017-11-15,544.0340386786262,547.9292704591413,533.2139503994172,538.4075927734375,6401547,81,82,95,94,100,67
222,2017-11-16,541.0045033626769,547.0637538003389,539.7060925546065,542.7357177734375,6821728,81,84,91,88,50,70
