,Date,Open,High,Low,Close,Volume,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
162,2017-08-23,3782.919921875,3786.712890625,3782.919921875,3786.284912109375,442,55,59,83,59,81,62
163,2017-08-24,3761.738037109375,3761.738037109375,3756.205078125,3756.205078125,324,53,55,86,30,84,61
164,2017-08-25,3757.5,3757.5,3678.425048828125,3697.697021484375,15113,75,69,86,76,83,73
165,2017-08-29,3706.31103515625,3711.199951171875,3706.31103515625,3711.199951171875,2881,48,47,86,14,82,57
166,2017-08-30,3700.0,3731.701904296875,3700.0,3731.701904296875,18918,56,54,85,29,80,59
167,2017-08-31,3900.2109375,3900.2109375,3886.85009765625,3895.77001953125,5960,57,56,89,59,87,60
168,2017-09-01,3921.60888671875,4059.93798828125,3927.5,3993.89892578125,16283,70,65,91,64,92,80
169,2017-09-04,4012.0,4030.47607421875,4000.0,4001.56005859375,42861,52,44,92,25,81,76
170,2017-09-05,4063.0,4063.22607421875,4053.47900390625,4053.47900390625,488,45,41,83,35,77,56
171,2017-09-06,4070.76708984375,4090.070068359375,4070.76708984375,4090.070068359375,119,38,38,83,0,77,54
172,2017-09-07,4008.39990234375,4027.361083984375,3990.5,3990.5,1250,37,39,87,12,79,58
173,2017-09-08,3700.0,3705.550048828125,3604.0,3639.281005859375,209220,69,71,85,37,82,70
174,2017-09-11,3662.75,3680.0,3662.75,3679.798095703125,11464,40,34,85,35,80,63
175,2017-09-12,3689.798095703125,3689.798095703125,3689.798095703125,3689.798095703125,800,34,36,87,35,78,58
176,2017-09-13,3684.798095703125,3684.798095703125,3684.798095703125,3684.798095703125,410,37,38,88,12,78,62
177,2017-09-14,3699.797119140625,3699.797119140625,3694.032958984375,3694.032958984375,1019,47,42,88,71,78,61
178,2017-09-15,3698.75,3748.27294921875,3698.75,3702.39404296875,25086,72,71,93,62,85,73
179,2017-09-18,3730.449951171875,3730.449951171875,3725.0,3725.2041015625,878,37,35,91,71,78,59
180,2017-09-19,3714.9609375,3714.9609375,3714.9609375,3714.9609375,899,34,38,87,47,78,60
181,2017-09-20,3710.0,3717.5,3704.7919921875,3705.3330078125,79683,42,39,87,23,75,57
182,2017-09-21,3707.798095703125,3719.800048828125,3706.7548828125,3706.7548828125,807,44,43,89,36,81,62
183,2017-09-22,3722.5,3722.5,3700.72509765625,3710.2958984375,9950,69,73,88,37,86,76
184,2017-09-25,3717.0,3767.0,3717.0,3744.410888671875,11295,44,39,87,23,79,59
185,2017-09-26,3750.2080078125,3750.2080078125,3750.2080078125,3750.2080078125,72,37,42,85,0,80,59
186,2017-09-27,3748.080078125,3748.080078125,3738.714111328125,3738.714111328125,355,41,42,82,59,81,59
187,2017-09-28,3736.93701171875,3760.7958984375,3736.06201171875,3760.7958984375,2108,51,43,86,36,82,58
188,2017-09-29,3737.75,3740.93701171875,3720.2958984375,3720.2958984375,4772,69,81,92,50,90,75
189,2017-10-02,3722.375,3724.404052734375,3707.041015625,3711.679931640625,19646,49,37,83,14,81,61
190,2017-10-03,3690.3798828125,3690.3798828125,3684.7900390625,3684.7900390625,79,41,37,85,42,81,60
191,2017-10-04,3691.81298828125,3691.81298828125,3686.298095703125,3690.760009765625,3260,42,43,88,28,80,61
192,2017-10-05,3702.125,3702.125,3637.0,3670.0,29237,47,42,89,70,85,64
193,2017-10-06,3694.5,3728.5,3694.5,3694.64794921875,2937,77,66,89,100,84,75
194,2017-10-09,3695.5,3695.5,3684.2958984375,3684.2958984375,234,41,38,87,14,89,67
195,2017-10-10,3829.7890625,3861.555908203125,3829.7890625,3861.554931640625,3050,54,34,86,27,80,61
196,2017-10-11,4008.221923828125,4027.258056640625,4008.221923828125,4027.258056640625,440,50,43,85,27,81,60
197,2017-10-12,4044.0,4250.26513671875,4044.0,4250.26513671875,30362,48,47,88,42,84,65
198,2017-10-13,4106.5,4106.5,4103.22705078125,4103.22705078125,598,73,68,94,71,91,78
199,2017-10-16,4026.840087890625,4036.169921875,4004.719970703125,4004.719970703125,24756,47,39,89,83,84,62
200,2017-10-17,3915.780029296875,3965.220947265625,3915.780029296875,3965.220947265625,2530,40,38,85,54,80,59
201,2017-10-18,4021.0,4062.75,4021.0,4062.75,526,46,39,86,55,85,60
202,2017-10-19,4042.777099609375,4042.777099609375,4042.777099609375,4042.777099609375,633,54,44,87,0,83,65
203,2017-10-20,4047.280029296875,4074.87890625,4047.280029296875,4070.842041015625,495,71,66,89,43,83,79
204,2017-10-23,4095.5,4095.5,4085.89111328125,4085.89111328125,939,51,37,84,27,81,59
205,2017-10-24,4018.0,4018.5,4000.780029296875,4004.409912109375,7469,56,38,89,54,81,60
206,2017-10-25,4062.27587890625,4076.333984375,4049.1669921875,4076.333984375,647,49,40,88,27,83,58
207,2017-10-26,4068.5,4068.5,4068.27587890625,4068.27587890625,1150,54,43,89,41,85,61
208,2017-10-27,4071.77490234375,4088.868896484375,4071.77490234375,4088.868896484375,735,81,63,86,43,89,71
209,2017-10-30,4092.778076171875,4092.778076171875,4092.778076171875,4092.778076171875,18,50,39,86,27,82,55
210,2017-10-31,4053.5,4057.27587890625,4048.0,4057.27587890625,1126,56,46,83,41,78,53
211,2017-11-01,4235.26806640625,4235.26806640625,4235.26806640625,4235.26806640625,327,60,50,89,62,81,61
212,2017-11-02,4186.2001953125,4222.291015625,4182.1611328125,4182.1611328125,642,57,40,91,21,82,65
213,2017-11-03,4347.5,4389.7578125,4302.39599609375,4389.7578125,796,80,66,94,31,87,77
214,2017-11-06,4389.7578125,4389.7578125,4389.7578125,4389.7578125,0,52,43,89,20,78,57
215,2017-11-07,4302.68701171875,4302.72119140625,4279.73291015625,4302.72119140625,1486,52,41,92,49,77,61
216,2017-11-08,4301.23779296875,4301.23779296875,4301.23779296875,4301.23779296875,168,42,42,89,20,77,60
217,2017-11-09,4230.77001953125,4230.77001953125,4160.22998046875,4160.22998046875,16257,46,41,93,30,79,64
218,2017-11-10,4185.0,4185.0,4179.76806640625,4179.76806640625,597,73,63,96,82,83,79
219,2017-11-13,4129.72802734375,4129.72802734375,4129.72802734375,4129.72802734375,281,46,38,90,19,78,59
220,2017-11-14,4149.72412109375,4149.72412109375,4149.72412109375,4149.72412109375,107,46,39,92,29,75,58
221,2017-11-15,4156.5,4161.89599609375,4156.5,4156.73486328125,548,52,39,92,58,79,60
222,2017-11-16,4183.875,4258.76318359375,4183.875,4204.56396484375,151012,52,40,91,78,79,59
223,2017-11-17,4231.18798828125,4269.76708984375,4231.18798828125,4269.76708984375,1277,67,67,94,51,82,72
224,2017-11-20,4269.76708984375,4269.76708984375,4269.76708984375,4269.76708984375,0,47,37,93,10,75,61
225,2017-11-28,4485.0,4485.0,4460.0,4469.2900390625,248045,52,41,87,29,76,55
226,2017-11-29,4460.5,4469.68701171875,4451.5,4463.6611328125,2591,46,46,87,49,81,56
227,2017-11-30,4407.5,4505.27294921875,4407.5,4505.27294921875,14021,51,50,88,49,81,57
228,2017-12-01,4470.0,4470.0,4452.73681640625,4452.73681640625,25995,65,84,82,20,89,50
229,2017-12-04,4468.0,4485.244140625,4468.0,4469.115234375,15132,48,42,80,6,81,43
230,2017-12-05,4462.8330078125,4462.8427734375,4402.52880859375,4413.27783203125,1352,50,49,83,45,82,43
231,2017-12-06,4335.5,4482.13623046875,4300.75,4463.81298828125,3862,43,53,84,39,83,43
232,2017-12-07,4486.5,4557.75,4475.5,4490.00390625,2767,48,47,81,7,79,44
