,Date,Open,High,Low,Close,Volume,treatment,MedImmune,Covid,research,drug,AstraZeneca
73,2017-04-18,4128.556462410063,4150.605199520037,4001.759073352887,4002.45703125,2887043,96,48,0.0,95,86,74
74,2017-04-19,4001.147572816463,4114.816692900084,3999.698820330054,4008.565185546875,2578359,94,48,0.0,91,94,67
75,2017-04-20,4003.765695991811,4067.059563852807,3997.657073526261,4009.43798828125,2145389,97,25,0.0,92,99,91
76,2017-04-21,3984.131540840673,4075.9151435488416,3945.298148316873,3984.56787109375,2518128,90,52,0.0,87,96,58
77,2017-04-24,4044.780649400972,4072.705780098023,4009.627095895926,4068.77880859375,2093270,99,48,0.0,100,100,81
78,2017-04-25,4069.2147437606654,4174.190488099238,4043.907596523037,4091.03125,2689123,96,74,0.0,96,96,86
79,2017-04-26,4072.26993576338,4161.059726540083,4072.26993576338,4089.72314453125,1855133,91,72,0.0,93,95,71
80,2017-04-27,4083.614084398863,4204.152851173247,4017.728228351825,4099.75830078125,2195321,92,49,0.0,96,97,79
81,2017-04-28,4109.793700066332,4155.967997500582,4026.454641067217,4046.962158203125,2114108,89,51,0.0,79,88,82
82,2017-05-02,4049.144610113294,4102.252902977936,4015.110851536911,4063.107177734375,2779947,100,80,0.0,98,95,56
83,2017-05-03,4054.81614187557,4133.645320491928,4028.2000023453415,4069.6513671875,2321149,91,20,0.0,92,94,71
84,2017-05-04,4073.578838989232,4132.717348259094,4038.23609199286,4056.998291015625,2422499,91,100,0.0,91,97,42
85,2017-05-05,4057.871233168053,4121.390519198837,4016.419860356121,4019.037841796875,2061810,90,41,0.0,88,90,55
86,2017-05-08,4011.1838974746142,4119.355447688251,4010.747567234489,4019.037841796875,2343943,97,20,0.0,97,92,69
87,2017-05-09,4012.492216316938,4183.119895133784,4009.8418514349696,4110.66650390625,1807195,100,40,0.0,100,98,80
88,2017-05-10,4092.7767645474137,4210.426114953798,4036.053845635776,4112.41162109375,2098172,93,20,0.0,94,89,72
89,2017-05-11,4110.666644656727,4174.1952965076,4088.413805374539,4142.955078125,1815605,88,20,0.0,96,96,71
90,2017-05-12,4350.211533512545,4539.578815914195,4234.514164410566,4516.8896484375,7078800,89,42,0.0,81,93,100
91,2017-05-15,4564.886579523098,4657.000401989744,4132.047018551303,4532.59814453125,3692537,91,42,0.0,89,94,94
92,2017-05-16,4529.980037968333,4639.169111523504,4489.837660440585,4579.7216796875,2857736,96,0,0.0,87,97,69
93,2017-05-17,4571.867999505679,4658.289505048892,4555.287451311252,4585.83056640625,2122875,89,64,0.0,85,100,63
94,2017-05-18,4560.523406341196,4647.589606677882,4485.474609375,4485.474609375,3119722,90,64,0.0,82,97,69
95,2017-05-19,4516.890078628639,4598.193220565924,4464.530456387966,4467.1484375,2921092,87,22,0.0,73,91,53
96,2017-05-22,4472.384744685063,4527.939296727989,4452.313554611355,4476.748046875,2188205,96,43,0.0,89,94,85
97,2017-05-23,4465.403318128009,4542.485480322631,4465.403318128009,4486.34716796875,1930849,97,21,0.0,88,95,50
98,2017-05-24,4502.054970392357,4610.565262308185,4502.054970392357,4524.744140625,2321168,93,43,0.0,86,86,63
99,2017-05-25,4540.452025921933,4556.596243196496,4518.678978669618,4545.68798828125,1788098,89,44,0.0,79,99,46
100,2017-05-26,4559.650675261115,4615.484323860424,4548.306089848982,4561.39599609375,1566267,83,46,0.0,65,81,42
101,2017-05-30,4542.198199117629,4659.188828934919,4511.655079623082,4550.9248046875,1765383,93,42,0.0,76,94,68
102,2017-05-31,4566.63271053374,4623.524810138667,4554.415462693596,4567.50537109375,3498553,90,41,0.0,76,88,49
103,2017-06-01,4591.066420454878,4704.563832389656,4587.57577881226,4649.53466796875,2253512,90,52,0.0,85,95,69
104,2017-06-02,4673.968912396299,4719.869228376282,4659.133686199373,4680.9501953125,1725692,83,54,0.0,81,88,30
105,2017-06-05,4701.0220615758935,4783.468451038541,4642.553808721692,4662.625,1637128,92,0,100.0,84,95,56
106,2017-06-06,4595.428939805089,4689.676248103408,4595.428939805089,4673.095703125,1682536,95,25,0.0,93,94,82
107,2017-06-07,4639.935120204493,4723.976829319574,4594.556781620586,4626.84521484375,2288743,100,25,0.0,94,90,100
108,2017-06-08,4625.099568914783,4730.403418659131,4618.868655092164,4633.826171875,2068199,94,75,0.0,90,92,80
109,2017-06-09,4668.732767889556,4728.946330690375,4625.099751367224,4657.38818359375,2153765,83,0,0.0,84,93,51
110,2017-06-12,4616.373555944004,4666.081963084662,4592.811724940131,4612.01025390625,1941180,98,25,0.0,94,90,87
111,2017-06-13,4636.444747463648,4690.16236448007,4584.085122986362,4591.06640625,1425609,96,0,0.0,94,90,55
