,Date,Open,High,Low,Close,Volume,bank,capital,Barclays,banking,business,London
380,2018-07-05,168.19110300110316,170.92164418804302,168.19110300110316,168.71551513671875,29031826,94,94,74,91,87,88
381,2018-07-06,168.95058825986345,169.3484191015018,167.21461042061688,168.62509155273438,26715611,94,93,86,84,82,84
382,2018-07-09,168.6251028700584,170.8674060050374,168.24535898564213,170.32492065429688,48483437,94,96,92,80,94,91
383,2018-07-10,170.50574303855302,173.0373826409213,168.1911058465566,168.6070098876953,31844390,90,96,89,81,91,90
384,2018-07-11,168.17301395422967,170.1621543707673,165.9487841509034,169.4930877685547,55985713,89,94,75,79,92,85
385,2018-07-12,170.1079022705157,172.20555072621565,168.06451476149084,171.33755493164062,76077919,91,98,87,82,97,92
386,2018-07-13,172.2236480654376,172.87464155358546,171.03016920138455,171.5003204345703,35192127,94,97,100,79,86,99
387,2018-07-16,171.78963978994048,175.18926137910628,170.75890250305386,171.5093536376953,38742128,95,95,96,81,94,90
388,2018-07-17,172.91081290238205,174.30320718872792,170.3068389892578,170.3068389892578,48822488,88,96,89,78,97,89
389,2018-07-18,170.83124843128593,171.78965164886205,168.2815217161555,170.79507446289062,43510397,89,100,84,75,100,88
390,2018-07-19,170.55999130223043,171.91622533414903,167.66669479340263,167.73902893066406,49980327,89,94,88,75,96,87
391,2018-07-20,167.4858711386494,169.14951495426627,165.74989318370228,168.87826538085938,45066501,91,95,92,75,86,89
392,2018-07-23,168.6250993338326,169.384587086738,167.23270512017262,168.6974334716797,42342468,91,93,90,75,97,89
393,2018-07-24,169.98132067586104,172.748035709237,169.2941671121463,171.19288635253906,129353852,90,97,83,78,94,87
394,2018-07-25,171.08440999282732,172.5853123566671,169.31225805296538,169.98133850097656,40256331,91,94,89,81,97,91
395,2018-07-26,170.8131726663126,172.09707270214147,170.4334287511796,171.04824829101562,25851699,92,92,87,79,94,93
396,2018-07-27,172.74804656987845,173.0916302714994,171.88006451865044,172.60337829589844,43018685,92,95,95,80,84,97
397,2018-07-30,171.8981439719912,175.26160558484392,171.78964966071416,174.46595764160156,33163761,99,93,96,90,97,88
398,2018-07-31,174.26703051696632,177.32306838232589,173.9776939778675,175.37010192871094,35121549,100,97,99,100,96,87
399,2018-08-01,176.3285105353286,176.9975771591593,172.06089302564607,173.3267059326172,133232332,94,99,91,95,97,86
400,2018-08-02,178.57081075509905,178.57081075509905,167.43160216575978,168.6612548828125,195187405,91,97,89,86,92,85
401,2018-08-03,169.0229328847189,172.63955705669508,169.0229328847189,170.61424255371094,45961471,94,95,86,82,84,89
402,2018-08-06,170.79508065931725,171.26524569122734,168.9325213128579,170.4876708984375,181057065,90,97,85,85,96,89
403,2018-08-07,170.48765570626756,172.00664498310937,169.07717453255253,171.2109832763672,35712022,86,91,85,82,93,90
404,2018-08-08,171.1205680770338,175.04461579678537,170.97591359506973,174.61061096191406,45918718,86,100,82,75,93,85
405,2018-08-09,175.27013665819226,175.6182264931252,173.32819121544233,175.4167022705078,31744420,80,97,74,76,89,87
406,2018-08-10,174.39077362742944,174.5556494608768,170.4519100936359,171.88088989257812,41570399,87,92,92,80,84,92
407,2018-08-13,170.8915796096318,171.69767644955476,168.9496342886522,169.0045928955078,35928796,87,95,92,79,94,88
408,2018-08-14,169.29772136294054,169.9389283946583,167.905376110307,168.50994873046875,65386513,84,99,80,75,94,100
