,Date,Open,High,Low,Close,Volume,government,aircraft,Airbus,defence,BAE Systems,aerospace
141,2017-07-25,495.4352653200264,499.09666079534713,494.20386035237095,495.8457336425781,5010824,93,76,91,100,64,100
142,2017-07-26,496.6667217080524,498.7190635332923,494.2039115177645,494.6143798828125,7127588,94,96,80,82,86,87
143,2017-07-27,494.6143812107531,501.18187506915314,493.49791928026553,499.9504699707031,8800920,90,88,85,82,64,88
144,2017-07-28,497.8981532073218,499.1295583677686,495.02487449961257,496.666748046875,6644177,82,87,91,83,72,79
145,2017-07-31,497.077234764448,497.8981715683529,493.69497914084,493.7934875488281,7278692,85,88,77,84,86,84
146,2017-08-01,497.8981558785604,500.7714346016848,494.40917457190926,498.3086242675781,11948326,86,76,83,86,100,76
147,2017-08-02,512.6749704281825,515.5482488853461,483.1212491545003,484.76312255859375,19169190,81,79,88,87,69,82
148,2017-08-03,485.5841037792306,487.8909341192333,480.2480147267116,483.9422302246094,9855162,81,86,100,87,95,83
149,2017-08-04,482.300398518464,484.3527406398191,479.6816079673744,481.4794616699219,11202133,71,69,84,81,47,64
150,2017-08-07,482.7108618478407,486.8155460472271,476.553835548761,478.1957092285156,8477303,76,81,84,77,69,67
151,2017-08-08,478.6061531815915,478.6061531815915,472.2603277676682,472.4491271972656,11969275,81,85,79,79,54,86
152,2017-08-09,470.8072776696201,479.8375829082702,468.34446714998825,478.1957092285156,11244374,81,83,77,73,45,88
153,2017-08-10,481.06891282317775,486.40500144664304,477.6291859985809,479.0165710449219,11453635,83,85,84,88,57,55
154,2017-08-11,478.1956245972938,479.42702963917526,476.1432828608248,477.78515625,7388916,72,76,75,97,84,78
155,2017-08-14,478.60614444755663,480.4942890270922,474.0909921414476,476.5538024902344,6689476,79,75,74,86,62,71
156,2017-08-15,481.4793881503018,492.9725022749467,481.0689197887074,487.6364135742188,9358021,81,77,81,94,95,63
157,2017-08-16,490.50973510742193,492.1516086977396,487.6364563243659,490.5097351074219,6671450,85,100,83,100,82,95
158,2017-08-17,490.9201029683208,493.3829128494327,484.3526099520221,485.5840148925781,4618988,91,80,78,82,71,84
159,2017-08-18,483.1212546014336,484.3526596683872,478.1956343336195,479.0165710449219,7339489,76,78,76,94,52,80
160,2017-08-21,478.6061289399964,482.96530111186496,477.7851921836671,481.0689392089844,9005253,77,74,83,81,44,77
161,2017-08-22,485.17358275444747,490.0992028839342,481.4793676573324,488.8677978515625,6974580,92,81,79,86,90,79
162,2017-08-23,488.8678772642806,488.8678772642806,482.3003826914607,485.9945983886719,6913225,97,82,79,90,81,77
163,2017-08-24,489.2782677938772,496.6666980122411,484.3526476483013,494.2038879394531,9605157,97,83,93,93,91,75
