,Date,Open,High,Low,Close,Volume,Legal & General,assurance,insurance,business,pensions,investment
123,2017-06-29,195.14507591335888,197.34871763680349,193.64395994479457,194.09429931640625,1227795,28,92,90,92,98,89
124,2017-06-30,194.09432178948427,195.2411629780268,192.9684846827068,193.869140625,1348663,57,87,90,81,80,87
125,2017-07-03,191.9176660412925,197.7720203575788,191.316472969799,197.4718017578125,16753660,75,90,87,84,60,79
126,2017-07-04,196.94644605208293,197.8471249579184,196.12082753926973,196.5711669921875,8119760,100,91,69,78,58,80
127,2017-07-05,197.0214889317402,198.22238639770023,195.44531243924348,198.072265625,13893446,25,86,95,94,68,98
128,2017-07-06,198.52261126376897,200.54912723270616,197.5468949262598,200.0237274169922,15701332,74,88,93,93,65,98
129,2017-07-07,200.32393928626664,200.4868182627723,199.0480043423421,200.47406005859372,9893991,26,89,94,88,49,85
130,2017-07-10,201.1495688308879,201.2996896115045,196.04578296293653,198.22239685058597,20304105,72,97,98,96,46,92
131,2017-07-11,198.22239685058597,198.22239685058597,198.22239685058597,198.22239685058597,0,24,100,95,98,55,100
132,2017-07-12,195.5203665483292,196.1958641933652,193.4938507080078,193.4938507080078,45207538,24,90,95,99,54,91
133,2017-07-13,193.7940744633512,195.44528823247384,193.34373510624096,194.7697906494141,22537091,73,75,90,94,64,88
134,2017-07-14,195.14510261682943,196.04578148330089,193.86914470686415,194.69476318359372,16588436,75,57,88,86,60,92
135,2017-07-17,194.9949753139857,195.370254344925,193.4961268064432,193.94419860839844,10773924,48,89,93,94,40,96
136,2017-07-18,193.34375,194.09430801793076,191.88165299439808,193.34375,14946567,73,94,94,98,52,89
137,2017-07-19,193.9441723122472,194.9949488753636,192.81833537207712,194.7697906494141,13426976,49,82,94,100,100,92
138,2017-07-20,194.61968756700836,197.92216121554455,194.24440855287585,197.3217010498047,15887801,49,93,90,96,66,99
139,2017-07-21,197.39676512529567,199.27316023104945,196.79632785353996,197.9221649169922,17071409,25,81,85,85,56,85
140,2017-07-24,197.39676164450628,197.69698027509023,194.74729271810983,196.1208038330078,18585249,47,79,94,91,73,93
141,2017-07-25,196.9464348646557,199.1981090961233,196.2709371762584,197.3967742919922,16728012,48,89,94,98,65,100
142,2017-07-26,197.17162413912789,200.1738565712108,196.79634508511757,199.0480194091797,12046464,24,85,94,94,75,100
143,2017-07-27,198.897890729679,201.07450457548916,198.29745342918477,200.24888610839844,12309483,49,84,96,97,66,96
144,2017-07-28,198.59768236722837,199.7985799356408,197.2466640133084,198.97296142578125,11294214,99,77,88,86,49,89
145,2017-07-31,198.37250565354984,201.9001380454264,197.8471287028812,201.4497985839844,13049461,47,82,100,93,62,93
146,2017-08-01,202.27539499275747,203.02595304467863,201.0744975286408,201.90011596679688,9817840,58,90,98,98,80,98
147,2017-08-02,202.20035195001185,203.7990444025641,200.5491378372828,203.0259704589844,12465997,28,96,100,99,100,100
148,2017-08-03,202.65068235448197,205.76549381703563,201.75000349304275,204.9774169921875,20467158,72,83,94,96,80,96
149,2017-08-04,204.9023481176534,205.7354565605521,203.1010133745849,204.52706909179688,16976771,15,82,89,85,74,91
150,2017-08-07,204.5270601943962,207.7544505142776,204.5270601943962,206.478515625,16066340,29,88,97,94,84,95
151,2017-08-08,205.87807953194715,207.90459558238152,204.6772048852467,207.15403747558597,14318112,42,90,96,97,65,99
152,2017-08-09,210.0061382001184,210.08119858793836,201.1495621625115,204.15179443359372,22755534,87,91,91,92,81,92
153,2017-08-10,204.6771894254426,207.3791800816458,200.92439917492268,204.30191040039065,21960279,15,85,94,97,75,97
154,2017-08-11,203.62639032413,203.62639032413,200.24887909048468,201.90011596679688,17500624,46,74,90,85,77,86
155,2017-08-14,202.5756218338552,204.6771982074462,201.8100608357785,203.5513610839844,11088284,15,70,94,90,57,86
156,2017-08-15,204.527097201244,205.87809271791764,202.80082260713684,203.1761016845703,10053761,0,62,94,98,77,95
157,2017-08-16,203.5513612159212,205.80303546430432,203.25111965863147,204.9774169921875,13046565,74,87,90,94,93,90
158,2017-08-17,205.12990512761408,205.73994758142425,203.29975449455577,204.1385803222656,13257027,89,81,93,94,71,91
159,2017-08-18,202.6134830773747,203.4522857666016,200.1732663315376,203.4522857666016,13296696,30,76,83,86,55,84
160,2017-08-21,201.54583740234375,203.6047713652501,201.16455505896317,201.54583740234372,9732691,43,83,90,95,78,90
161,2017-08-22,202.38468350386088,204.13859642224125,200.70705498775808,201.46961975097656,12847759,57,80,93,100,97,100
162,2017-08-23,201.7746324778683,202.07965371594395,199.63943726808105,200.70704650878903,18096796,59,84,88,98,76,97
163,2017-08-24,201.317101717954,203.141155366672,200.9358193283366,201.8509063720703,13607588,30,89,89,96,72,95
164,2017-08-25,202.00339258851784,202.61345833629795,200.47826312651077,200.70704650878903,13318114,15,79,80,82,67,74
165,2017-08-29,199.9444913219499,199.9444913219499,196.20790534436696,197.58053588867188,19272007,100,91,98,98,78,95
166,2017-08-30,198.49561230137164,199.94450406911483,197.35176507734155,197.7330474853516,10296295,15,100,98,100,80,100
167,2017-08-31,198.5718715573752,199.7919799057825,198.0380901541934,198.41937255859372,16342229,44,92,93,96,81,94
168,2017-09-01,198.5718493784156,199.14377292113664,197.88554578147605,198.1905670166016,8867369,40,69,87,77,74,71
169,2017-09-04,197.5805250712952,198.4193509238404,196.51293910970523,196.74169921875,9277834,26,92,71,77,80,69
170,2017-09-05,196.66546377468973,197.19926846100932,194.5760436004583,194.98782348632807,10602008,25,97,100,92,77,80
171,2017-09-06,194.22526359308483,194.3777742348421,192.54762326212264,193.9202423095703,11745604,49,91,97,97,99,85
172,2017-09-07,195.44535051997704,195.52161165492308,192.85263483322896,193.23391723632807,11941345,26,100,98,97,88,89
173,2017-09-08,193.31018486924057,194.12613482449171,192.47135889989977,193.69146728515625,9571025,13,81,88,87,98,82
174,2017-09-11,194.9878070164385,197.73303317392876,194.60652463602472,196.05540466308597,12993437,12,88,97,99,73,78
